actor_name,numfacebooklikes
Benedict Cumberbatch,19000.0
Bruce Greenwood,981.0
Noel Clarke,928.0
Eddie Marsan,979.0
Ewen Bremner,557.0
Ralph Brown,140.0
Elizabeth Debicki,509.0
Steve Bisley,77.0
Jake Gyllenhaal,15000.0
Richard Coyle,567.0
Reece Ritchie,236.0
Charlie Hunnam,16000.0
Clifton Collins Jr.,968.0
Larry Joe Campbell,919.0
Lester Speight,829.0
Harrison Ford,11000.0
Ray Winstone,1000.0
Jim Broadbent,1000.0
A.J. Buckley,275.0
Jack McGraw,150.0
Peter Sohn,113.0
Kelly Macdonald,2000.0
Julie Walters,838.0
Sofia Boutella,998.0
Melissa Roxburgh,119.0
Lydia Wilson,105.0
Fred Willard,729.0
Jeff Garlin,522.0
Tzi Ma,268.0
Dana Ivey,268.0
Noémie Lenoir,173.0
Oliver Platt,1000.0
Liam James,468.0
Tom McCarthy,310.0
Robin Wright,18000.0
Colin Firth,14000.0
Gary Oldman,10000.0
Channing Tatum,17000.0
Eddie Redmayne,13000.0
Casper Crump,103.0
Kiran Shah,190.0
Shane Rangi,82.0
Michael Fassbender,13000.0
Tye Sheridan,1000.0
Heath Ledger,13000.0
Morgan Freeman,11000.0
Delroy Lindo,848.0
Jess Harnell,262.0
Amy Poehler,1000.0
Rainn Wilson,973.0
Stephen Colbert,459.0
Chloë Grace Moretz,17000.0
Salma Hayek,4000.0
Bai Ling,582.0
Jet Li,5000.0
Brendan Fraser,3000.0
Russell Wong,595.0
Robin Atkin Downes,336.0
Ike Barinholtz,329.0
Jimmy Bennett,87000.0
Steve Carell,7000.0
Tom Cruise,10000.0
Lara Pulver,854.0
Noah Taylor,509.0
Jeanne Tripplehorn,711.0
Rick Aviles,60.0
Zakes Mokae,60.0
Dennis Quaid,2000.0
Leo Howard,570.0
Mindy Kaling,767.0
Phyllis Smith,384.0
Bill Murray,13000.0
Garry Shandling,591.0
Kristen Stewart,17000.0
Angelina Jolie Pitt,11000.0
Sharlto Copley,2000.0
Sam Riley,846.0
Kodi Smit-McPhee,884.0
Tamsin Egerton,622.0
Alice Englert,525.0
Bipasha Basu,283.0
Keanu Reeves,18000.0
Cary-Hiroyuki Tagawa,1000.0
Jin Akanishi,982.0
Hayley Atwell,2000.0
Jon Hamm,4000.0
Kathy Griffin,225.0
Mary Kay Place,213.0
Chris Bauer,638.0
Thomas Robinson,604.0
Damon Wayans Jr.,756.0
Daniel Henney,719.0
Abraham Benrubi,562.0
Jack McBrayer,975.0
Sarah Silverman,931.0
Joe Lo Truglio,833.0
Eddie Deezen,726.0
Peter Scolari,267.0
Vivica A. Fox,890.0
Sela Ward,812.0
Judd Hirsch,535.0
Gerard Butler,18000.0
America Ferrera,953.0
Craig Ferguson,759.0
Nick Stahl,648.0
Carolyn Hennesy,191.0
Bradley Cooper,14000.0
Djimon Hounsou,3000.0
Matthew McConaughey,11000.0
Mackenzie Foy,6000.0
Mark Chinnery,544.0
Shin'ya Tsukamoto,106.0
Atsuko Maeda,12.0
Jordana Brewster,4000.0
Jason Flemyng,1000.0
Julia Ormond,919.0
Philip Seymour Hoffman,22000.0
Josh Hutcherson,14000.0
Nicolas Cage,12000.0
Omar Benson Miller,418.0
Robert Capron,370.0
Mike Vogel,2000.0
Andre Braugher,702.0
Justin Timberlake,3000.0
Eric Idle,795.0
Rupert Everett,692.0
Dominic Cooper,3000.0
Callum Rennie,716.0
Ruth Negga,648.0
Emilia Clarke,10000.0
Matt Smith,2000.0
Bruce Spence,531.0
Laura Brent,59.0
Jennifer Garner,3000.0
Jaime King,961.0
Mako,691.0
Zack Ward,662.0
Michael O'Neill,599.0
Anthony Hopkins,12000.0
Brian Blessed,591.0
Robert Pattinson,21000.0
Fiona Shaw,687.0
Charlize Theron,9000.0
Alice Braga,1000.0
Willow Smith,558.0
David Kelly,588.0
Janeane Garofalo,1000.0
Brian Dennehy,954.0
Bernie Mac,1000.0
Jada Pinkett Smith,851.0
Cedric the Entertainer,436.0
Robin Williams,49000.0
Rami Malek,3000.0
Steve Coogan,1000.0
Dominic Monaghan,2000.0
Essie Davis,309.0
Collin Chou,269.0
Nona Gaye,233.0
Josh Gad,1000.0
Maurice LaMarche,523.0
Livvy Stubenrauch,490.0
Steve Bastoni,234.0
Daniel Bernhardt,198.0
Helmut Bakaitis,30.0
Natalie Portman,20000.0
Zoë Kravitz,943.0
Ayelet Zurer,745.0
Armin Mueller-Stahl,294.0
Diedrich Bader,759.0
James Lipton,699.0
Kelli Garner,730.0
Piper Mackenzie Harris,607.0
Niecy Nash,182.0
Edgar Ramírez,897.0
Lily James,502.0
Jeremy Renner,10000.0
Sean Harris,641.0
Simon Merrells,490.0
Art Malik,162.0
Matthew Broderick,2000.0
Oprah Winfrey,852.0
Rip Torn,826.0
Mike Bell,15.0
Seychelle Gabriel,1000.0
Noah Ringer,756.0
Aasif Mandvi,346.0
Jake Weber,551.0
Matt Craven,256.0
Elisabeth Harnois,921.0
Dan Fogler,562.0
Tom Everett Scott,433.0
David Suchet,586.0
Cara Delevingne,548.0
Nonso Anozie,394.0
Ty Burrell,3000.0
Zach Callison,1000.0
Karan Brar,517.0
Julian Glover,844.0
Martin Short,770.0
Toby Stephens,769.0
Colin Salmon,766.0
Rick Yune,746.0
Ed Begley Jr.,783.0
Kate McKinnon,370.0
Zach Woods,322.0
Bruce Willis,13000.0
Will Patton,537.0
Rosario Dawson,3000.0
Sebastian Roché,964.0
Wayne Knight,967.0
Michael Nyqvist,690.0
Kamil McFadden,315.0
Khamani Griffin,161.0
John Michael Higgins,957.0
Richard Burgi,550.0
David Herman,233.0
Tony Goldwyn,956.0
Chad Lindberg,445.0
María Valverde,893.0
Ben Mendelsohn,748.0
Leonard Nimoy,12000.0
Elodie Yung,934.0
Bryan Brown,284.0
Sam Shepard,820.0
Joe Morton,780.0
Richard Roxburgh,653.0
Matt Frewer,986.0
Billy Crudup,745.0
Stephen McHattie,413.0
Rene Russo,808.0
Darlene Love,91.0
Kevin Rankin,820.0
Regi Davis,300.0
Celia Weston,258.0
Dwayne Johnson,12000.0
Ming-Na Wen,2000.0
Jean Simmons,422.0
Maria Grazia Cucinotta,536.0
Desmond Llewelyn,244.0
James D'Arcy,613.0
Lee Ingleby,172.0
David Threlfall,168.0
Taylor Lautner,12000.0
Peter Mensah,1000.0
Mark Rylance,535.0
Penelope Wilton,400.0
Rafe Spall,358.0
Lukas Haas,733.0
Snoop Dogg,881.0
Ben Schwartz,463.0
Stephen Root,939.0
Annet Mahendru,411.0
Andy Richter,179.0
Matt Damon,13000.0
T.I.,680.0
Sandra Ellis Lafferty,523.0
Jim Parsons,17000.0
Matt Jones,523.0
April Winchell,183.0
Lisa Ann Walter,1000.0
Rick Gonzalez,807.0
Henry Rollins,898.0
Jordi Mollà,877.0
Constance Marie,442.0
Amy Sedaris,397.0
August Diehl,282.0
Emma Watson,9000.0
Logan Lerman,8000.0
Toby Jones,2000.0
Mackenzie Crook,871.0
Tony Curran,845.0
Eddie Baroo,165.0
Alfre Woodard,1000.0
D.B. Sweeney,558.0
Della Reese,388.0
Dave Legeno,570.0
Ralph Ineson,159.0
Will Ferrell,8000.0
Verne Troyer,645.0
Stephanie Szostak,1000.0
Alfred Enoch,1000.0
Seth Gabel,574.0
Jürgen Prochnow,362.0
Miguel Ferrer,688.0
Rachel Crow,237.0
Jeffrey Garcia,56.0
Bruce Davison,505.0
Aaron Stanford,346.0
Paul Anderson,154.0
Alexa Davalos,850.0
Ronny Cox,605.0
Rachel Ticotin,308.0
Marshall Bell,217.0
Vladimir Kulich,372.0
Clive Russell,241.0
Scott Glenn,826.0
Stacy Keach,602.0
Michael Gough,920.0
John Glover,409.0
Clint Howard,1000.0
T.J. Thyne,722.0
Molly Shannon,636.0
Dougray Scott,794.0
Karen Allen,784.0
Mary Elizabeth Mastrantonio,638.0
Bob Gunton,461.0
Ioan Gruffudd,2000.0
Suraj Sharma,774.0
Tabu,341.0
Matt Long,701.0
Peter Fonda,402.0
Riz Ahmed,365.0
Ato Essandoh,265.0
Demi Moore,2000.0
Justin Theroux,1000.0
Nathan Lane,886.0
Melanie Griffith,537.0
Christina Cox,567.0
Abbie Cornish,2000.0
Jennifer Ehle,1000.0
Scott Porter,690.0
Kick Gurry,107.0
Nicholas Elia,87.0
Shelley Conn,273.0
Domenick Lombardozzi,216.0
Teyonah Parris,157.0
Marc Blucas,973.0
Zoë Bell,1000.0
Hayden Christensen,4000.0
James Coburn,773.0
Tao Okamoto,992.0
Rila Fukushima,929.0
Ian McDiarmid,1000.0
Alain Delon,936.0
Santiago Segura,276.0
Vanessa Hessler,141.0
Roger Willie,836.0
Noah Emmerich,617.0
Noel Fisher,833.0
Danny Woodburn,809.0
Jeremy Howard,429.0
Phaldut Sharma,39.0
Basher Savage,23.0
Amy Warren,13.0
Jamie Renée Smith,650.0
Grant Heslov,293.0
Stephen Amell,5000.0
Tim Blake Nelson,596.0
Reg E. Cathey,360.0
Tim Heidecker,78.0
Archie Panjabi,884.0
Vincent Schiavelli,811.0
Joe Don Baker,387.0
Adam Baldwin,2000.0
Julia Roberts,8000.0
Mini Anden,350.0
Stephanie March,322.0
Theo James,5000.0
Mekhi Phifer,1000.0
Adam Scott,3000.0
Frances Conroy,827.0
James Corden,480.0
Catherine Tate,392.0
Olly Alexander,116.0
Chad L. Coleman,741.0
Sullivan Stapleton,1000.0
Mahadeo Shivraj,383.0
Tim Gunn,113.0
Madison McKinley,111.0
Roseanne Barr,513.0
G.W. Bailey,421.0
Torey Michael Adkins,929.0
Olga Fonda,544.0
Jacob Tremblay,681.0
Nancy O'Dell,71.0
Vanessa Matsui,40.0
Jason Patric,673.0
Lois Chiles,202.0
Moises Arias,635.0
Aramis Knight,430.0
Jonathan Sadowski,300.0
Cyril Raffaelli,297.0
Billy Boyd,857.0
Cécile De France,447.0
Kelly Preston,743.0
Spencer Breslin,434.0
Chi McBride,466.0
Philip Glenister,195.0
Chazz Palminteri,979.0
Jeffrey Jones,692.0
Jenifer Lewis,578.0
Anika Noni Rose,525.0
Donald Glover,801.0
Benedict Wong,372.0
Del Zamora,752.0
Warren Beatty,631.0
Robert Duvall,3000.0
Connie Nielsen,933.0
Oliver Reed,695.0
Frank Grillo,798.0
Jessica Capshaw,533.0
Tobias Menzies,1000.0
Ivana Milicevic,834.0
Estella Warren,658.0
Erick Avari,567.0
Jenette Goldstein,604.0
S. Epatha Merkerson,539.0
Denzel Washington,18000.0
Ruby Dee,782.0
RZA,561.0
Jamie Lee Curtis,2000.0
Tia Carrere,1000.0
Tom Arnold,618.0
Michael Rispoli,385.0
Robert De Niro,22000.0
Blythe Danner,713.0
Teri Polo,708.0
Derek Jeter,107.0
Vanessa Williams,1000.0
Roma Maffia,383.0
Jason Alexander,700.0
Bill Fagerbakke,542.0
Eartha Kitt,558.0
Wendie Malick,452.0
John Fiedler,253.0
Sylvester Stallone,13000.0
Armando Riesco,625.0
Annie Parisse,341.0
Ed Speleers,762.0
Gary Lewis,203.0
Catherine O'Hara,925.0
Ryan Corr,468.0
Max Records,279.0
Emma Kenney,151.0
Troy Evans,120.0
Rufus Sewell,3000.0
Mark Margolis,1000.0
Udo Kier,595.0
Stephen Collins,452.0
Rene Auberjonois,710.0
Debi Mazar,680.0
Jake Busey,660.0
Patrick Muldoon,475.0
Seth Gilliam,423.0
Jim Sturgess,5000.0
Anthony LaPaglia,577.0
Christopher Heyerdahl,825.0
Alex Borstein,566.0
Ingrid Bolsø Berdal,467.0
Michael Wincott,720.0
Anna Friel,735.0
Bobb'e J. Thompson,526.0
Jamie Kennedy,490.0
Traylor Howard,294.0
Ben Stein,227.0
Benjamin Walker,911.0
Frank Dillane,571.0
Randy Quaid,695.0
Burt Young,683.0
Sean Huze,537.0
Igal Naor,95.0
Francesca Capaldi,144.0
Venus Schultheis,42.0
Bill Melendez,36.0
Ben Gazzara,623.0
Felicity Huffman,508.0
Campbell Scott,393.0
Patricia Velasquez,591.0
Ni Ni,196.0
Shigeo Kobayashi,28.0
Zooey Deschanel,11000.0
Jon Heder,970.0
Jon Lovitz,11000.0
Roger Bart,465.0
Thomas Middleditch,331.0
Katherine LaNasa,329.0
Milla Jovovich,14000.0
Chris Noth,962.0
Liza Minnelli,740.0
Kristin Davis,722.0
Frank Welker,2000.0
Rosie Perez,919.0
Elton John,442.0
Drake,916.0
Derek Jacobi,520.0
Michael Imperioli,873.0
AJ Michalka,560.0
Alexander Gould,1000.0
Bernard Hill,416.0
Olivia Williams,766.0
Chris Barrie,240.0
Michael Jeter,693.0
Trevor Morgan,595.0
Alessandro Nivola,527.0
David Oyelowo,1000.0
Tod Fennell,419.0
Joan Plowright,330.0
Cole Hauser,787.0
Megalyn Echikunwoke,476.0
Holly Hunter,1000.0
Craig T. Nelson,723.0
Lou Romano,55.0
Christopher Masterson,1000.0
Matthew Modine,810.0
Linda Fiorentino,602.0
Ethan Suplee,1000.0
Mei Melançon,191.0
John Lone,165.0
Harris Yulin,141.0
Amber Valletta,627.0
Miranda Otto,568.0
Will Forte,622.0
Al Roker,56.0
Denis Leary,835.0
Maile Flanagan,256.0
Kelly Keaton,117.0
Adrian Martinez,806.0
Joey Slotnick,423.0
LL Cool J,1000.0
Kelly Lynch,466.0
Harvey Fierstein,500.0
June Foray,484.0
Brandon T. Jackson,918.0
Goran Visnjic,1000.0
Joely Richardson,585.0
Aldis Hodge,559.0
Kevin Chamberlin,489.0
Robert Maillet,727.0
Jim Varney,802.0
Cree Summer,503.0
Bella Thorne,35000.0
Joshua Mikel,1000.0
Jesse McCartney,1000.0
Adam Sandler,11000.0
Sayed Badreya,600.0
Kevin Nealon,503.0
Haley Joel Osment,3000.0
Kevin Sussman,681.0
Marsha Thomason,691.0
Rachael Harris,569.0
Marc John Jefferies,441.0
Tom Skerritt,1000.0
Larry King,135.0
Greg Grunberg,833.0
Kim Dickens,624.0
Curtiss Cook,591.0
George Harris,249.0
Michael Wright,249.0
Leven Rambin,956.0
Sanaa Lathan,886.0
Alun Armstrong,192.0
Michael Byrne,117.0
Velibor Topic,84.0
Stephen Dillane,577.0
Catherine McCormack,307.0
Kim Delaney,281.0
Wanda Sykes,560.0
Will.i.am,350.0
Anne Heche,643.0
Gaby Hoffmann,612.0
Natascha McElhone,2000.0
Christian Camargo,602.0
Lex Shrapnel,123.0
William Smith,919.0
Sandahl Bergman,183.0
Paddy Considine,680.0
Bruce McGill,655.0
Rosemarie DeWitt,537.0
Shirley Henderson,887.0
Richard E. Grant,554.0
Michael Angarano,947.0
Alan Ruck,946.0
Jami Gertz,848.0
Paul Sanchez,410.0
Nick Searcy,272.0
Elizabeth Daily,971.0
Joan Allen,805.0
Oksana Akinshina,129.0
Dean Stockwell,936.0
Elliott Gould,471.0
Jeff Bennett,283.0
Teala Dunn,142.0
Fred Tatasciore,118.0
Jim Carter,439.0
Gabourey Sidibe,906.0
Sarah Parish,213.0
Lisa Bonet,619.0
Meryl Streep,11000.0
Hunter Parrish,2000.0
Zoe Kazan,963.0
Al Pacino,14000.0
Debra Messing,650.0
Jane Krakowski,624.0
Bob Hoskins,5000.0
Gabriel Thomson,35.0
Clemens Schick,29.0
F. Murray Abraham,670.0
Tom Noonan,442.0
Li Gong,879.0
Karl Yune,210.0
Amber Stevens West,584.0
Zachery Ty Bryan,227.0
Nikki Griffin,159.0
Imelda Staunton,579.0
Michael Palin,561.0
Raymond Cruz,672.0
Rick Worthy,174.0
Jsu Garcia,172.0
Roy Scheider,813.0
Ben Vereen,388.0
Max Wright,87.0
Anna Kendrick,10000.0
Kieran Culkin,1000.0
Ellen Wong,719.0
Tchéky Karyo,345.0
Rekha Sharma,106.0
Larry Miller,611.0
Janet Jackson,592.0
Chris Elliott,571.0
Sarah Michelle Gellar,4000.0
Linda Cardellini,2000.0
Miguel A. Núñez Jr.,271.0
Wood Harris,409.0
Jason Cope,107.0
Rakie Ayola,20.0
Cameron Monaghan,1000.0
Julie Kavner,233.0
Ted Danson,875.0
Hal Holbrook,826.0
Adrienne Barbeau,602.0
Katt Williams,615.0
Tom Hulce,521.0
Seth MacFarlane,3000.0
Iván Kamarás,169.0
Brian Steele,160.0
Anthony Edwards,495.0
Michael Rapaport,975.0
Vanessa Redgrave,898.0
Anthony Reynolds,575.0
Mason Lee,670.0
Mike Tyson,461.0
Andrew Bryniarski,390.0
Jason Scott Lee,533.0
David Ogden Stiers,443.0
Garrick Hagon,110.0
Steve Reevis,437.0
Dalip Singh,421.0
Lauren Gottlieb,733.0
Paul Michael Glaser,343.0
Joseph Sikora,223.0
Nellie Sciutto,163.0
Katy Mixon,982.0
Drew Carey,311.0
Paula Abdul,208.0
Carmen Electra,869.0
Kathryn Joosten,495.0
Jennifer Jason Leigh,1000.0
Liam Aiken,818.0
Bailee Madison,3000.0
Monica Potter,878.0
Dave Chappelle,744.0
Ethan Embry,982.0
Cameron Boyce,915.0
Jodi Benson,570.0
Sam Lloyd,159.0
Lili Taylor,960.0
Virginia Madsen,913.0
Michael Jordan,366.0
Roger Rees,1000.0
Henry Czerny,177.0
William Abadie,38.0
Juan Riedinger,71.0
Alex McArthur,137.0
Michael Potts,67.0
Jim Parrack,697.0
Tom Cavanagh,642.0
Josh Robert Thompson,375.0
Charles Napier,503.0
Zahn McClarnon,495.0
Leslie Bibb,1000.0
Nicholas Turturro,269.0
June Lockhart,427.0
Dorian Missick,1000.0
Jose Pablo Cantillo,502.0
Michael Brandon,87.0
Fran Drescher,859.0
Quincy Jones,340.0
Penn Jillette,243.0
Russi Taylor,62.0
Alan Young,639.0
Josh Stamberg,102.0
Mika Boorem,496.0
David Paymer,372.0
Michael Emerson,2000.0
Nick Chinlund,277.0
Adrian Alonso,163.0
Annabella Sciorra,448.0
Rosalind Chao,129.0
Michael McKean,658.0
Nissim Renard,23.0
Roxane Duran,21.0
Julie-Marie Parmentier,8.0
Harold Perrineau,1000.0
Bart the Bear,904.0
Devin Ratray,1000.0
Boris Kodjoe,1000.0
Jon Foster,274.0
Bruce Thomas,183.0
Viggo Mortensen,10000.0
Amy Brenneman,366.0
Charlie Rowe,882.0
Tiya Sircar,396.0
Madison Rothschild,210.0
Richard Tyson,743.0
John Topor,41.0
Jenna Elfman,739.0
Heather Locklear,695.0
Fergie,529.0
Elio Germano,48.0
Andrea Di Stefano,30.0
Brian Anthony Wilson,674.0
Larenz Tate,582.0
Adam Goldberg,1000.0
Glenne Headly,231.0
Joseph Gilgun,788.0
Lotte Verbeek,612.0
Bob Neill,2.0
Val Kilmer,0.0
Tom Sizemore,0.0
Mia Farrow,563.0
Adam LeFevre,80.0
Penny Balfour,14.0
Pedro Armendáriz Jr.,67.0
Jacques Perrin,63.0
Rie Miyazawa,7.0
Jemima Rooper,212.0
Sasha Roiz,795.0
Currie Graham,172.0
Dylan Schombing,74.0
Sariann Monaco,163.0
David Hoffman,94.0
Ben Diskin,20.0
Austin Pendleton,592.0
Niketa Calame,847.0
Melissa Sturm,18.0
Emily Watson,876.0
Tim Meadows,553.0
Mo Gallini,771.0
Veronica Cartwright,422.0
Jeremy Northam,327.0
Jonathan Winters,924.0
Eric Stonestreet,904.0
Albert Brooks,745.0
Max Ryan,872.0
Miranda Cosgrove,2000.0
Mary McDonnell,933.0
Ariana Richards,610.0
Richard Schiff,506.0
Vanessa Lee Chester,227.0
Danny Huston,430.0
Rita Davies,18.0
Tyler Mane,764.0
Michael Biehn,2000.0
Bokeem Woodbine,904.0
Ray Romano,590.0
Jay Leno,241.0
Peter Dante,427.0
Allen Covert,328.0
Jerry Stiller,719.0
Elijah Kelley,339.0
Paul Dooley,260.0
Alan Ford,422.0
Izabella Scorupco,394.0
Michael Kelly,963.0
Barry Shabaka Henley,232.0
Kevin Dillon,576.0
Yvette Nicole Brown,446.0
Nicholas Lea,867.0
Jud Tylor,15000.0
Martin Scorsese,17000.0
Loretta Devine,912.0
Jennifer Hudson,549.0
Christina Milian,1000.0
Moritz Bleibtreu,486.0
Tom Selleck,19000.0
Christian Berkel,104.0
Paz Vega,964.0
Sarah Steele,138.0
Brían F. O'Byrne,450.0
Azura Skye,193.0
Ben Cross,303.0
John Gielgud,249.0
Geoffrey Palmer,103.0
Randall Duk Kim,99.0
Daniel Sharman,1000.0
Steve Byers,222.0
Ransford Doherty,759.0
Lena Olin,541.0
Sean Pertwee,722.0
Kiernan Shipka,552.0
Lou Taylor Pucci,394.0
Bridget Fonda,889.0
Megan Mullally,637.0
Mike Starr,854.0
John Heard,697.0
Peter Coyote,548.0
James Pickens Jr.,270.0
Huey Lewis,215.0
Keegan-Michael Key,415.0
Alexis Dziena,715.0
Maude Apatow,130.0
Frances Fisher,638.0
Tim McGraw,461.0
Gary Cole,989.0
Raven-Symoné,1000.0
Kevin Pollak,574.0
Mhairi Calvey,906.0
Patrick McGoohan,466.0
James Robinson,403.0
Brian Geraghty,383.0
James Morrison,210.0
Yeardley Smith,440.0
Marcia Wallace,433.0
Martin Landau,940.0
Jeffrey DeMunn,745.0
Cristián de la Fuente,462.0
David Gant,21.0
Jean-Claude Dreyfus,17.0
Oanh Nguyen,8.0
Peter Boyle,595.0
Rory Culkin,710.0
Merritt Wever,529.0
Cherry Jones,242.0
Jennifer Saunders,309.0
Conrad Vernon,48.0
Cheech Marin,843.0
George Carlin,769.0
Hector Elizondo,995.0
Eve,223.0
Leila Arcieri,212.0
Tim Conway,870.0
Billy West,861.0
John Amos,982.0
Franco Nero,576.0
Josh Charles,1000.0
Freddy Rodríguez,579.0
Bob Balaban,559.0
Raoul Bova,727.0
Bridgit Mendler,1000.0
Chris Klein,841.0
Radha Mitchell,992.0
LeVar Burton,1000.0
Jonathan Frakes,906.0
Michael Dorn,748.0
Alison Lohman,1000.0
David Hyde Pierce,443.0
Peter Gerety,277.0
Ron Rifkin,184.0
Jeremy Irvine,25000.0
Todd Graff,650.0
John Buffalo Mailer,17.0
Sarah Gadon,692.0
Zach McGowan,423.0
Mark Valley,774.0
Nathaniel Parker,271.0
Victor Wong,400.0
Chelcie Ross,244.0
Brooke Smith,405.0
Garcelle Beauvais,384.0
Ben Daniels,585.0
Dexter Fletcher,452.0
Phill Lewis,229.0
Tate Taylor,150.0
Stephen Rea,327.0
Sandrine Holt,324.0
James Martin Kelly,394.0
Shane Hartline,217.0
Celina Beach,66.0
Rory Cochrane,407.0
Talisa Soto,349.0
Gregg Henry,298.0
Minnie Driver,893.0
Ron Howard,2000.0
Brandy Norwood,509.0
Lea Michele,2000.0
Jim Belushi,854.0
Archie Kao,326.0
Brandon Molale,301.0
Laurence Olivier,1000.0
Charlotte Rampling,844.0
Indira Varma,729.0
Neil Maskell,246.0
50 Cent,1000.0
Matt Gerald,585.0
Roxanne McKee,576.0
Luke Newberry,358.0
Gaia Weiss,182.0
Philip Baker Hall,497.0
Gary Farmer,580.0
Vincent Pastore,584.0
Robert Blake,220.0
Aida Turturro,97.0
Max Minghella,614.0
Ashraf Barhom,451.0
Rupert Evans,334.0
Jenna Fischer,966.0
Stephen Merchant,681.0
Michael Raymond-James,788.0
Graham McTavish,531.0
Simon McBurney,149.0
Michael Gaston,135.0
Kevin McNally,427.0
Maury Chaykin,232.0
Mitch Pileggi,826.0
Owen Teale,112.0
Lisa Edelstein,955.0
Reece Thompson,354.0
Marcus Chong,145.0
Gloria Foster,99.0
Miko Hughes,968.0
Kathleen Quinlan,552.0
Judge Reinhold,901.0
Aisha Tyler,857.0
Eric Lloyd,775.0
Jean Stapleton,793.0
Andrea Savage,105.0
Tony Amendola,174.0
Stuart Wilson,94.0
Matt Walsh,490.0
Finn Wittrock,769.0
Jack O'Connell,698.0
Alex Russell,465.0
Clint Eastwood,16000.0
Courtney B. Vance,495.0
William Devane,416.0
Leon,730.0
Janine Turner,369.0
Samantha Mathis,517.0
Lily Tomlin,718.0
Daniel von Bargen,577.0
Jay Hernandez,1000.0
Marian Seldes,403.0
Horatio Sanz,174.0
Vinessa Shaw,580.0
Sydney Pollack,521.0
Quvenzhané Wallis,2000.0
David Zayas,929.0
Gerald McRaney,523.0
Abigail Spencer,1000.0
Warren Christie,520.0
Natasha Lyonne,1000.0
Lea Thompson,1000.0
Jennifer Grey,1000.0
Maura Tierney,509.0
Adrian Lester,317.0
Paul Guilfoyle,210.0
Melina Kanakaredes,394.0
Craig Bierko,380.0
Yvonne Zima,263.0
Pamela Reed,324.0
Michael Kitchen,184.0
Jonah Bobo,539.0
Meat Loaf,783.0
Eugenie Bondurant,637.0
Kimberly Williams-Paisley,529.0
Michael Moore,909.0
Caitlin Stasey,623.0
Kevin Grevioux,593.0
Ian McNeice,268.0
Barney Clark,85.0
Tony Noble,25.0
Bill Cobbs,970.0
Martin Henderson,580.0
Tom Goodman-Hill,221.0
Michael Smiley,177.0
David Calder,27.0
Simon Chandler,16.0
Josh Zuckerman,522.0
Robert Wagner,481.0
Dee Bradley Baker,668.0
