name,movie_title
James Nesbitt,The Hobbit: The Desolation of Smaug
Christopher Lee,The Golden Compass
Eva Green,The Golden Compass
Kristin Scott Thomas,The Golden Compass
Naomi Watts,King Kong
Thomas Kretschmann,King Kong
Evan Parke,King Kong
Leonardo DiCaprio,Titanic
Kate Winslet,Titanic
Gloria Stuart,Titanic
Robert Downey Jr.,Captain America: Civil War
Scarlett Johansson,Captain America: Civil War
Chris Evans,Captain America: Civil War
Liam Neeson,Battleship
Alexander Skarsgård,Battleship
Tadanobu Asano,Battleship
Bryce Dallas Howard,Jurassic World
Judy Greer,Jurassic World
Omar Sy,Jurassic World
Albert Finney,Skyfall
Helen McCrory,Skyfall
Rory Kinnear,Skyfall
J.K. Simmons,Spider-Man 2
James Franco,Spider-Man 2
Kirsten Dunst,Spider-Man 2
Robert Downey Jr.,Iron Man 3
Jon Favreau,Iron Man 3
Don Cheadle,Iron Man 3
Johnny Depp,Alice in Wonderland
Alan Rickman,Alice in Wonderland
Anne Hathaway,Alice in Wonderland
Hugh Jackman,X-Men: The Last Stand
Kelsey Grammer,X-Men: The Last Stand
Daniel Cudmore,X-Men: The Last Stand
Steve Buscemi,Monsters University
Tyler Labine,Monsters University
Sean Hayes,Monsters University
Glenn Morshower,Transformers: Revenge of the Fallen
Kevin Dunn,Transformers: Revenge of the Fallen
Ramon Rodriguez,Transformers: Revenge of the Fallen
Bingbing Li,Transformers: Age of Extinction
Sophia Myles,Transformers: Age of Extinction
Kelsey Grammer,Transformers: Age of Extinction
Tim Holmes,Oz the Great and Powerful
Mila Kunis,Oz the Great and Powerful
James Franco,Oz the Great and Powerful
Emma Stone,The Amazing Spider-Man 2
Andrew Garfield,The Amazing Spider-Man 2
B.J. Novak,The Amazing Spider-Man 2
Jeff Bridges,TRON: Legacy
Olivia Wilde,TRON: Legacy
James Frain,TRON: Legacy
Joe Mantegna,Cars 2
Thomas Kretschmann,Cars 2
Eddie Izzard,Cars 2
Ryan Reynolds,Green Lantern
Temuera Morrison,Green Lantern
Taika Waititi,Green Lantern
Tom Hanks,Toy Story 3
John Ratzenberger,Toy Story 3
Don Rickles,Toy Story 3
Christian Bale,Terminator Salvation
Bryce Dallas Howard,Terminator Salvation
Common,Terminator Salvation
Jason Statham,Furious 7
Paul Walker,Furious 7
Vin Diesel,Furious 7
Peter Capaldi,World War Z
Brad Pitt,World War Z
Mireille Enos,World War Z
Jennifer Lawrence,X-Men: Days of Future Past
Peter Dinklage,X-Men: Days of Future Past
Hugh Jackman,X-Men: Days of Future Past
Benedict Cumberbatch,Star Trek Into Darkness
Bruce Greenwood,Star Trek Into Darkness
Noel Clarke,Star Trek Into Darkness
Eddie Marsan,Jack the Giant Slayer
Ewen Bremner,Jack the Giant Slayer
Ralph Brown,Jack the Giant Slayer
Leonardo DiCaprio,The Great Gatsby
Elizabeth Debicki,The Great Gatsby
Steve Bisley,The Great Gatsby
Jake Gyllenhaal,Prince of Persia: The Sands of Time
Richard Coyle,Prince of Persia: The Sands of Time
Reece Ritchie,Prince of Persia: The Sands of Time
Charlie Hunnam,Pacific Rim
Clifton Collins Jr.,Pacific Rim
Larry Joe Campbell,Pacific Rim
Glenn Morshower,Transformers: Dark of the Moon
Lester Speight,Transformers: Dark of the Moon
Kevin Dunn,Transformers: Dark of the Moon
Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull
Ray Winstone,Indiana Jones and the Kingdom of the Crystal Skull
Jim Broadbent,Indiana Jones and the Kingdom of the Crystal Skull
A.J. Buckley,The Good Dinosaur
Jack McGraw,The Good Dinosaur
Peter Sohn,The Good Dinosaur
Kelly Macdonald,Brave
John Ratzenberger,Brave
Julie Walters,Brave
Sofia Boutella,Star Trek Beyond
Melissa Roxburgh,Star Trek Beyond
Lydia Wilson,Star Trek Beyond
John Ratzenberger,WALL·E
Fred Willard,WALL·E
Jeff Garlin,WALL·E
Tzi Ma,Rush Hour 3
Dana Ivey,Rush Hour 3
Noémie Lenoir,Rush Hour 3
Oliver Platt,2012
Liam James,2012
Tom McCarthy,2012
Robin Wright,A Christmas Carol
Colin Firth,A Christmas Carol
Gary Oldman,A Christmas Carol
Channing Tatum,Jupiter Ascending
Mila Kunis,Jupiter Ascending
Eddie Redmayne,Jupiter Ascending
Christoph Waltz,The Legend of Tarzan
Alexander Skarsgård,The Legend of Tarzan
Casper Crump,The Legend of Tarzan
Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Kiran Shah,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Shane Rangi,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Jennifer Lawrence,X-Men: Apocalypse
Michael Fassbender,X-Men: Apocalypse
Tye Sheridan,X-Men: Apocalypse
Christian Bale,The Dark Knight
Heath Ledger,The Dark Knight
Morgan Freeman,The Dark Knight
John Ratzenberger,Up
Delroy Lindo,Up
Jess Harnell,Up
Amy Poehler,Monsters vs. Aliens
Rainn Wilson,Monsters vs. Aliens
Stephen Colbert,Monsters vs. Aliens
Robert Downey Jr.,Iron Man
Jeff Bridges,Iron Man
Jon Favreau,Iron Man
Chloë Grace Moretz,Hugo
Christopher Lee,Hugo
Ray Winstone,Hugo
Will Smith,Wild Wild West
Salma Hayek,Wild Wild West
Bai Ling,Wild Wild West
Jet Li,The Mummy: Tomb of the Dragon Emperor
Brendan Fraser,The Mummy: Tomb of the Dragon Emperor
Russell Wong,The Mummy: Tomb of the Dragon Emperor
Will Smith,Suicide Squad
Robin Atkin Downes,Suicide Squad
Ike Barinholtz,Suicide Squad
Jimmy Bennett,Evan Almighty
Morgan Freeman,Evan Almighty
Steve Carell,Evan Almighty
Tom Cruise,Edge of Tomorrow
Lara Pulver,Edge of Tomorrow
Noah Taylor,Edge of Tomorrow
Jeanne Tripplehorn,Waterworld
Rick Aviles,Waterworld
Zakes Mokae,Waterworld
Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra
Dennis Quaid,G.I. Joe: The Rise of Cobra
Leo Howard,G.I. Joe: The Rise of Cobra
Amy Poehler,Inside Out
Mindy Kaling,Inside Out
Phyllis Smith,Inside Out
Scarlett Johansson,The Jungle Book
Bill Murray,The Jungle Book
Garry Shandling,The Jungle Book
Robert Downey Jr.,Iron Man 2
Scarlett Johansson,Iron Man 2
Jon Favreau,Iron Man 2
Chris Hemsworth,Snow White and the Huntsman
Kristen Stewart,Snow White and the Huntsman
Sam Claflin,Snow White and the Huntsman
Angelina Jolie Pitt,Maleficent
Sharlto Copley,Maleficent
Sam Riley,Maleficent
Gary Oldman,Dawn of the Planet of the Apes
Judy Greer,Dawn of the Planet of the Apes
Kodi Smit-McPhee,Dawn of the Planet of the Apes
Tamsin Egerton,The Lovers
Alice Englert,The Lovers
Bipasha Basu,The Lovers
Keanu Reeves,47 Ronin
Cary-Hiroyuki Tagawa,47 Ronin
Jin Akanishi,47 Ronin
Scarlett Johansson,Captain America: The Winter Soldier
Chris Evans,Captain America: The Winter Soldier
Hayley Atwell,Captain America: The Winter Soldier
Jon Hamm,Shrek Forever After
Kathy Griffin,Shrek Forever After
Mary Kay Place,Shrek Forever After
Judy Greer,Tomorrowland
Chris Bauer,Tomorrowland
Thomas Robinson,Tomorrowland
Damon Wayans Jr.,Big Hero 6
Daniel Henney,Big Hero 6
Abraham Benrubi,Big Hero 6
Jack McBrayer,Wreck-It Ralph
Sarah Silverman,Wreck-It Ralph
Joe Lo Truglio,Wreck-It Ralph
Tom Hanks,The Polar Express
Eddie Deezen,The Polar Express
Peter Scolari,The Polar Express
Vivica A. Fox,Independence Day: Resurgence
Sela Ward,Independence Day: Resurgence
Judd Hirsch,Independence Day: Resurgence
Gerard Butler,How to Train Your Dragon
America Ferrera,How to Train Your Dragon
Craig Ferguson,How to Train Your Dragon
Nick Stahl,Terminator 3: Rise of the Machines
M.C. Gainey,Terminator 3: Rise of the Machines
Carolyn Hennesy,Terminator 3: Rise of the Machines
Bradley Cooper,Guardians of the Galaxy
Vin Diesel,Guardians of the Galaxy
Djimon Hounsou,Guardians of the Galaxy
Matthew McConaughey,Interstellar
Anne Hathaway,Interstellar
Mackenzie Foy,Interstellar
Leonardo DiCaprio,Inception
Tom Hardy,Inception
Joseph Gordon-Levitt,Inception
Mark Chinnery,Godzilla Resurgence
Shin'ya Tsukamoto,Godzilla Resurgence
Atsuko Maeda,Godzilla Resurgence
Aidan Turner,The Hobbit: An Unexpected Journey
Adam Brown,The Hobbit: An Unexpected Journey
James Nesbitt,The Hobbit: An Unexpected Journey
Paul Walker,The Fast and the Furious
Vin Diesel,The Fast and the Furious
Jordana Brewster,The Fast and the Furious
Brad Pitt,The Curious Case of Benjamin Button
Jason Flemyng,The Curious Case of Benjamin Button
Julia Ormond,The Curious Case of Benjamin Button
Jennifer Lawrence,X-Men: First Class
Michael Fassbender,X-Men: First Class
Oliver Platt,X-Men: First Class
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2
Philip Seymour Hoffman,The Hunger Games: Mockingjay - Part 2
Josh Hutcherson,The Hunger Games: Mockingjay - Part 2
Nicolas Cage,The Sorcerer's Apprentice
Omar Benson Miller,The Sorcerer's Apprentice
Robert Capron,The Sorcerer's Apprentice
Jimmy Bennett,Poseidon
Mike Vogel,Poseidon
Andre Braugher,Poseidon
Johnny Depp,Alice Through the Looking Glass
Alan Rickman,Alice Through the Looking Glass
Anne Hathaway,Alice Through the Looking Glass
Justin Timberlake,Shrek the Third
Eric Idle,Shrek the Third
Rupert Everett,Shrek the Third
Dominic Cooper,Warcraft
Callum Rennie,Warcraft
Ruth Negga,Warcraft
J.K. Simmons,Terminator Genisys
Emilia Clarke,Terminator Genisys
Matt Smith,Terminator Genisys
Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader
Shane Rangi,The Chronicles of Narnia: The Voyage of the Dawn Treader
Laura Brent,The Chronicles of Narnia: The Voyage of the Dawn Treader
Jennifer Garner,Pearl Harbor
Jaime King,Pearl Harbor
Mako,Pearl Harbor
Zack Ward,Transformers
Michael O'Neill,Transformers
Kevin Dunn,Transformers
Anthony Hopkins,Alexander
Angelina Jolie Pitt,Alexander
Brian Blessed,Alexander
Robert Pattinson,Harry Potter and the Order of the Phoenix
Daniel Radcliffe,Harry Potter and the Order of the Phoenix
Fiona Shaw,Harry Potter and the Order of the Phoenix
Robert Pattinson,Harry Potter and the Goblet of Fire
Daniel Radcliffe,Harry Potter and the Goblet of Fire
Rupert Grint,Harry Potter and the Goblet of Fire
Will Smith,Hancock
Charlize Theron,Hancock
Eddie Marsan,Hancock
Will Smith,I Am Legend
Alice Braga,I Am Legend
Willow Smith,I Am Legend
Johnny Depp,Charlie and the Chocolate Factory
Christopher Lee,Charlie and the Chocolate Factory
David Kelly,Charlie and the Chocolate Factory
Janeane Garofalo,Ratatouille
John Ratzenberger,Ratatouille
Brian Dennehy,Ratatouille
Christian Bale,Batman Begins
Liam Neeson,Batman Begins
Morgan Freeman,Batman Begins
Bernie Mac,Madagascar: Escape 2 Africa
Jada Pinkett Smith,Madagascar: Escape 2 Africa
Cedric the Entertainer,Madagascar: Escape 2 Africa
Robin Williams,Night at the Museum: Battle of the Smithsonian
Rami Malek,Night at the Museum: Battle of the Smithsonian
Steve Coogan,Night at the Museum: Battle of the Smithsonian
Hugh Jackman,X-Men Origins: Wolverine
Ryan Reynolds,X-Men Origins: Wolverine
Dominic Monaghan,X-Men Origins: Wolverine
Essie Davis,The Matrix Revolutions
Collin Chou,The Matrix Revolutions
Nona Gaye,The Matrix Revolutions
Josh Gad,Frozen
Maurice LaMarche,Frozen
Livvy Stubenrauch,Frozen
Steve Bastoni,The Matrix Reloaded
Daniel Bernhardt,The Matrix Reloaded
Helmut Bakaitis,The Matrix Reloaded
Chris Hemsworth,Thor: The Dark World
Natalie Portman,Thor: The Dark World
Anthony Hopkins,Thor: The Dark World
Tom Hardy,Mad Max: Fury Road
Charlize Theron,Mad Max: Fury Road
Zoë Kravitz,Mad Max: Fury Road
Tom Hanks,Angels & Demons
Ayelet Zurer,Angels & Demons
Armin Mueller-Stahl,Angels & Demons
Chris Hemsworth,Thor
Natalie Portman,Thor
Anthony Hopkins,Thor
Chloë Grace Moretz,Bolt
Diedrich Bader,Bolt
James Lipton,Bolt
Kelli Garner,G-Force
Piper Mackenzie Harris,G-Force
Niecy Nash,G-Force
Liam Neeson,Wrath of the Titans
Edgar Ramírez,Wrath of the Titans
Lily James,Wrath of the Titans
Johnny Depp,Dark Shadows
Chloë Grace Moretz,Dark Shadows
Christopher Lee,Dark Shadows
Tom Cruise,Mission: Impossible - Rogue Nation
Jeremy Renner,Mission: Impossible - Rogue Nation
Sean Harris,Mission: Impossible - Rogue Nation
Anthony Hopkins,The Wolfman
Simon Merrells,The Wolfman
Art Malik,The Wolfman
Christoph Waltz,The Legend of Tarzan
Alexander Skarsgård,The Legend of Tarzan
Casper Crump,The Legend of Tarzan
Matthew Broderick,Bee Movie
Oprah Winfrey,Bee Movie
Rip Torn,Bee Movie
Angelina Jolie Pitt,Kung Fu Panda 2
Gary Oldman,Kung Fu Panda 2
Mike Bell,Kung Fu Panda 2
Seychelle Gabriel,The Last Airbender
Noah Ringer,The Last Airbender
Aasif Mandvi,The Last Airbender
Philip Seymour Hoffman,Mission: Impossible III
Tom Cruise,Mission: Impossible III
Eddie Marsan,Mission: Impossible III
Channing Tatum,White House Down
Jake Weber,White House Down
Matt Craven,White House Down
Elisabeth Harnois,Mars Needs Moms
Dan Fogler,Mars Needs Moms
Tom Everett Scott,Mars Needs Moms
Hugh Jackman,Flushed Away
Kate Winslet,Flushed Away
David Suchet,Flushed Away
Hugh Jackman,Pan
Cara Delevingne,Pan
Nonso Anozie,Pan
Ty Burrell,Mr. Peabody & Sherman
Zach Callison,Mr. Peabody & Sherman
Karan Brar,Mr. Peabody & Sherman
Brad Pitt,Troy
Orlando Bloom,Troy
Julian Glover,Troy
Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted
Martin Short,Madagascar 3: Europe's Most Wanted
Cedric the Entertainer,Madagascar 3: Europe's Most Wanted
Toby Stephens,Die Another Day
Colin Salmon,Die Another Day
Rick Yune,Die Another Day
Ed Begley Jr.,Ghostbusters
Kate McKinnon,Ghostbusters
Zach Woods,Ghostbusters
Bruce Willis,Armageddon
Steve Buscemi,Armageddon
Will Patton,Armageddon
Will Smith,Men in Black II
Rosario Dawson,Men in Black II
Rip Torn,Men in Black II
Robin Wright,Beowulf
Anthony Hopkins,Beowulf
Sebastian Roché,Beowulf
J.K. Simmons,Kung Fu Panda 3
Angelina Jolie Pitt,Kung Fu Panda 3
Wayne Knight,Kung Fu Panda 3
Tom Cruise,Mission: Impossible - Ghost Protocol
Jeremy Renner,Mission: Impossible - Ghost Protocol
Michael Nyqvist,Mission: Impossible - Ghost Protocol
Hugh Jackman,Rise of the Guardians
Kamil McFadden,Rise of the Guardians
Khamani Griffin,Rise of the Guardians
John Michael Higgins,Fun with Dick and Jane
Richard Burgi,Fun with Dick and Jane
David Herman,Fun with Dick and Jane
Tom Cruise,The Last Samurai
Tony Goldwyn,The Last Samurai
Chad Lindberg,The Last Samurai
Christian Bale,Exodus: Gods and Kings
María Valverde,Exodus: Gods and Kings
Ben Mendelsohn,Exodus: Gods and Kings
Chris Hemsworth,Star Trek
Leonard Nimoy,Star Trek
Bruce Greenwood,Star Trek
J.K. Simmons,Spider-Man
James Franco,Spider-Man
Kirsten Dunst,Spider-Man
Gerard Butler,How to Train Your Dragon 2
Djimon Hounsou,How to Train Your Dragon 2
America Ferrera,How to Train Your Dragon 2
Gerard Butler,Gods of Egypt
Elodie Yung,Gods of Egypt
Bryan Brown,Gods of Egypt
Sam Shepard,Stealth
Joe Morton,Stealth
Richard Roxburgh,Stealth
Matt Frewer,Watchmen
Billy Crudup,Watchmen
Stephen McHattie,Watchmen
Jet Li,Lethal Weapon 4
Rene Russo,Lethal Weapon 4
Darlene Love,Lethal Weapon 4
Kevin Rankin,Hulk
Regi Davis,Hulk
Celia Weston,Hulk
Channing Tatum,G.I. Joe: Retaliation
Dwayne Johnson,G.I. Joe: Retaliation
Elodie Yung,G.I. Joe: Retaliation
Matthew McConaughey,Sahara
Rainn Wilson,Sahara
Delroy Lindo,Sahara
Steve Buscemi,Final Fantasy: The Spirits Within
Ming-Na Wen,Final Fantasy: The Spirits Within
Jean Simmons,Final Fantasy: The Spirits Within
Chris Evans,Captain America: The First Avenger
Dominic Cooper,Captain America: The First Avenger
Hayley Atwell,Captain America: The First Avenger
Colin Salmon,The World Is Not Enough
Maria Grazia Cucinotta,The World Is Not Enough
Desmond Llewelyn,The World Is Not Enough
James D'Arcy,Master and Commander: The Far Side of the World
Lee Ingleby,Master and Commander: The Far Side of the World
David Threlfall,Master and Commander: The Far Side of the World
Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2
Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 2
Taylor Lautner,The Twilight Saga: Breaking Dawn - Part 2
Robin Williams,Happy Feet 2
Brad Pitt,Happy Feet 2
Common,Happy Feet 2
Ty Burrell,The Incredible Hulk
Peter Mensah,The Incredible Hulk
William Hurt,The Incredible Hulk
Mark Rylance,The BFG
Penelope Wilton,The BFG
Rafe Spall,The BFG
Leonardo DiCaprio,The Revenant
Tom Hardy,The Revenant
Lukas Haas,The Revenant
Ryan Reynolds,Turbo
Snoop Dogg,Turbo
Ben Schwartz,Turbo
Johnny Depp,Rango
Ray Winstone,Rango
Stephen Root,Rango
Benedict Cumberbatch,Penguins of Madagascar
Annet Mahendru,Penguins of Madagascar
Andy Richter,Penguins of Madagascar
Matt Damon,The Bourne Ultimatum
Edgar Ramírez,The Bourne Ultimatum
Albert Finney,The Bourne Ultimatum
Angelina Jolie Pitt,Kung Fu Panda
Wayne Knight,Kung Fu Panda
Dan Fogler,Kung Fu Panda
Judy Greer,Ant-Man
Hayley Atwell,Ant-Man
T.I.,Ant-Man
Jennifer Lawrence,The Hunger Games: Catching Fire
Josh Hutcherson,The Hunger Games: Catching Fire
Sandra Ellis Lafferty,The Hunger Games: Catching Fire
Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2
Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 2
Taylor Lautner,The Twilight Saga: Breaking Dawn - Part 2
Jim Parsons,Home
Matt Jones,Home
April Winchell,Home
Tom Cruise,War of the Worlds
Lisa Ann Walter,War of the Worlds
Rick Gonzalez,War of the Worlds
Will Smith,Bad Boys II
Henry Rollins,Bad Boys II
Jordi Mollà,Bad Boys II
Salma Hayek,Puss in Boots
Constance Marie,Puss in Boots
Amy Sedaris,Puss in Boots
Angelina Jolie Pitt,Salt
Andre Braugher,Salt
August Diehl,Salt
Anthony Hopkins,Noah
Emma Watson,Noah
Logan Lerman,Noah
Toby Jones,The Adventures of Tintin
Mackenzie Crook,The Adventures of Tintin
Tony Curran,The Adventures of Tintin
Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban
Gary Oldman,Harry Potter and the Prisoner of Azkaban
Rupert Grint,Harry Potter and the Prisoner of Azkaban
Essie Davis,Australia
Bryan Brown,Australia
Eddie Baroo,Australia
Will Smith,After Earth
Zoë Kravitz,After Earth
Glenn Morshower,After Earth
Alfre Woodard,Dinosaur
D.B. Sweeney,Dinosaur
Della Reese,Dinosaur
Rupert Grint,Harry Potter and the Deathly Hallows: Part II
Dave Legeno,Harry Potter and the Deathly Hallows: Part II
Ralph Ineson,Harry Potter and the Deathly Hallows: Part II
Robin Williams,Night at the Museum: Secret of the Tomb
Rami Malek,Night at the Museum: Secret of the Tomb
Steve Coogan,Night at the Museum: Secret of the Tomb
J.K. Simmons,Megamind
Brad Pitt,Megamind
Will Ferrell,Megamind
Daniel Radcliffe,Harry Potter and the Sorcerer's Stone
Fiona Shaw,Harry Potter and the Sorcerer's Stone
Verne Troyer,Harry Potter and the Sorcerer's Stone
Ryan Reynolds,R.I.P.D.
Jeff Bridges,R.I.P.D.
Stephanie Szostak,R.I.P.D.
Mark Chinnery,Godzilla Resurgence
Shin'ya Tsukamoto,Godzilla Resurgence
Atsuko Maeda,Godzilla Resurgence
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl
Orlando Bloom,Pirates of the Caribbean: The Curse of the Black Pearl
Jack Davenport,Pirates of the Caribbean: The Curse of the Black Pearl
Rupert Grint,Harry Potter and the Deathly Hallows: Part I
Toby Jones,Harry Potter and the Deathly Hallows: Part I
Alfred Enoch,Harry Potter and the Deathly Hallows: Part I
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1
Philip Seymour Hoffman,The Hunger Games: Mockingjay - Part 1
Josh Hutcherson,The Hunger Games: Mockingjay - Part 1
Tom Hanks,The Da Vinci Code
Seth Gabel,The Da Vinci Code
Jürgen Prochnow,The Da Vinci Code
Miguel Ferrer,Rio 2
Rachel Crow,Rio 2
Jeffrey Garcia,Rio 2
Hugh Jackman,X-Men 2
Bruce Davison,X-Men 2
Aaron Stanford,X-Men 2
Paul Walker,Fast Five
Vin Diesel,Fast Five
Dwayne Johnson,Fast Five
Robert Downey Jr.,Sherlock Holmes: A Game of Shadows
Eddie Marsan,Sherlock Holmes: A Game of Shadows
Paul Anderson,Sherlock Holmes: A Game of Shadows
Liam Neeson,Clash of the Titans
Jason Flemyng,Clash of the Titans
Alexa Davalos,Clash of the Titans
Ronny Cox,Total Recall
Rachel Ticotin,Total Recall
Marshall Bell,Total Recall
Tony Curran,The 13th Warrior
Vladimir Kulich,The 13th Warrior
Clive Russell,The 13th Warrior
Jeremy Renner,The Bourne Legacy
Scott Glenn,The Bourne Legacy
Stacy Keach,The Bourne Legacy
Michael Gough,Batman & Robin
Vivica A. Fox,Batman & Robin
John Glover,Batman & Robin
Clint Howard,How the Grinch Stole Christmas
T.J. Thyne,How the Grinch Stole Christmas
Molly Shannon,How the Grinch Stole Christmas
Jake Gyllenhaal,The Day After Tomorrow
Dennis Quaid,The Day After Tomorrow
Sela Ward,The Day After Tomorrow
Tom Cruise,Mission: Impossible II
Dougray Scott,Mission: Impossible II
Richard Roxburgh,Mission: Impossible II
Karen Allen,The Perfect Storm
Mary Elizabeth Mastrantonio,The Perfect Storm
Bob Gunton,The Perfect Storm
Chris Evans,Fantastic 4: Rise of the Silver Surfer
Ioan Gruffudd,Fantastic 4: Rise of the Silver Surfer
Andre Braugher,Fantastic 4: Rise of the Silver Surfer
Suraj Sharma,Life of Pi
Rafe Spall,Life of Pi
Tabu,Life of Pi
Nicolas Cage,Ghost Rider
Matt Long,Ghost Rider
Peter Fonda,Ghost Rider
Matt Damon,Jason Bourne
Riz Ahmed,Jason Bourne
Ato Essandoh,Jason Bourne
Demi Moore,Charlie's Angels: Full Throttle
Bernie Mac,Charlie's Angels: Full Throttle
Justin Theroux,Charlie's Angels: Full Throttle
Michael Fassbender,Prometheus
Charlize Theron,Prometheus
Sean Harris,Prometheus
Nathan Lane,Stuart Little 2
Brad Garrett,Stuart Little 2
Melanie Griffith,Stuart Little 2
Matt Damon,Elysium
Sharlto Copley,Elysium
Alice Braga,Elysium
Vin Diesel,The Chronicles of Riddick
Alexa Davalos,The Chronicles of Riddick
Christina Cox,The Chronicles of Riddick
Gary Oldman,RoboCop
Abbie Cornish,RoboCop
Jennifer Ehle,RoboCop
Scott Porter,Speed Racer
Kick Gurry,Speed Racer
Nicholas Elia,Speed Racer
Shelley Conn,How Do You Know
Domenick Lombardozzi,How Do You Know
Teyonah Parris,How Do You Know
Tom Cruise,Knight and Day
Marc Blucas,Knight and Day
Jordi Mollà,Knight and Day
Morgan Freeman,Oblivion
Tom Cruise,Oblivion
Zoë Bell,Oblivion
Natalie Portman,Star Wars: Episode III - Revenge of the Sith
Christopher Lee,Star Wars: Episode III - Revenge of the Sith
Hayden Christensen,Star Wars: Episode III - Revenge of the Sith
Natalie Portman,Star Wars: Episode II - Attack of the Clones
Christopher Lee,Star Wars: Episode II - Attack of the Clones
Hayden Christensen,Star Wars: Episode II - Attack of the Clones
Steve Buscemi,"Monsters, Inc."
John Ratzenberger,"Monsters, Inc."
James Coburn,"Monsters, Inc."
Hugh Jackman,The Wolverine
Tao Okamoto,The Wolverine
Rila Fukushima,The Wolverine
Natalie Portman,Star Wars: Episode I - The Phantom Menace
Liam Neeson,Star Wars: Episode I - The Phantom Menace
Ian McDiarmid,Star Wars: Episode I - The Phantom Menace
Ryan Reynolds,The Croods
Emma Stone,The Croods
Nicolas Cage,The Croods
Alain Delon,Asterix at the Olympic Games
Santiago Segura,Asterix at the Olympic Games
Vanessa Hessler,Asterix at the Olympic Games
Nicolas Cage,Windtalkers
Roger Willie,Windtalkers
Noah Emmerich,Windtalkers
Chris Hemsworth,The Huntsman: Winter's War
Sam Claflin,The Huntsman: Winter's War
Charlize Theron,The Huntsman: Winter's War
Noel Fisher,Teenage Mutant Ninja Turtles
Danny Woodburn,Teenage Mutant Ninja Turtles
Jeremy Howard,Teenage Mutant Ninja Turtles
Phaldut Sharma,Gravity
Basher Savage,Gravity
