title,year,duration,budget,gross,rating,language,country,numfacebooklikes
Kung Fu Panda,2008,92.0,130000000.0,215395021.0,PG,English,USA,6000
Ant-Man,2015,117.0,130000000.0,180191634.0,PG-13,English,USA,61000
The Hunger Games: Catching Fire,2013,146.0,130000000.0,424645577.0,PG-13,English,USA,82000
Home,2015,94.0,135000000.0,177343675.0,PG,English,USA,26000
War of the Worlds,2005,116.0,132000000.0,234277056.0,PG-13,English,USA,0
Bad Boys II,2003,147.0,130000000.0,138396624.0,R,English,USA,0
Puss in Boots,2011,90.0,130000000.0,149234747.0,PG,English,USA,16000
Salt,2010,101.0,110000000.0,118311368.0,PG-13,English,USA,23000
Noah,2014,138.0,125000000.0,101160529.0,PG-13,English,USA,71000
The Adventures of Tintin,2011,107.0,135000000.0,77564037.0,PG,English,USA,44000
Harry Potter and the Prisoner of Azkaban,2004,142.0,130000000.0,249358727.0,PG,English,UK,11000
Australia,2008,165.0,130000000.0,49551662.0,PG-13,English,Australia,0
After Earth,2013,100.0,130000000.0,60522097.0,PG-13,English,USA,37000
Dinosaur,2000,82.0,127500000.0,137748063.0,PG,English,USA,0
Harry Potter and the Deathly Hallows: Part II,2011,,,,,English,UK,40
Night at the Museum: Secret of the Tomb,2014,98.0,127000000.0,113733726.0,PG,English,USA,11000
Megamind,2010,95.0,130000000.0,148337537.0,PG,English,USA,13000
Harry Potter and the Sorcerer's Stone,2001,159.0,125000000.0,317557891.0,PG,English,UK,16000
R.I.P.D.,2013,96.0,130000000.0,33592415.0,PG-13,English,USA,20000
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143.0,140000000.0,305388685.0,PG-13,English,USA,10000
Harry Potter and the Deathly Hallows: Part I,2010,,,,,English,UK,25
The Hunger Games: Mockingjay - Part 1,2014,123.0,125000000.0,337103873.0,PG-13,English,USA,52000
The Da Vinci Code,2006,174.0,125000000.0,217536138.0,PG-13,English,USA,0
Rio 2,2014,101.0,103000000.0,131536019.0,G,English,USA,0
X-Men 2,2003,134.0,110000000.0,214948780.0,PG-13,English,Canada,0
Fast Five,2011,132.0,125000000.0,209805005.0,PG-13,English,USA,54000
Sherlock Holmes: A Game of Shadows,2011,129.0,125000000.0,186830669.0,PG-13,English,USA,39000
Clash of the Titans,2010,106.0,125000000.0,163192114.0,PG-13,English,USA,15000
Total Recall,1990,113.0,65000000.0,119412921.0,R,English,USA,0
The 13th Warrior,1999,102.0,85000000.0,32694788.0,R,English,USA,0
The Bourne Legacy,2012,135.0,125000000.0,113165635.0,PG-13,English,USA,31000
Batman & Robin,1997,125.0,125000000.0,107285004.0,PG-13,English,USA,0
How the Grinch Stole Christmas,2000,110.0,123000000.0,260031035.0,PG,English,USA,0
The Day After Tomorrow,2004,124.0,125000000.0,186739919.0,PG-13,English,USA,19000
Mission: Impossible II,2000,123.0,125000000.0,215397307.0,PG-13,English,USA,0
The Perfect Storm,2000,130.0,140000000.0,182618434.0,PG-13,English,USA,0
Fantastic 4: Rise of the Silver Surfer,2007,92.0,130000000.0,131920333.0,PG,English,USA,0
Life of Pi,2012,127.0,120000000.0,124976634.0,PG,English,USA,122000
Ghost Rider,2007,123.0,110000000.0,115802596.0,PG-13,English,USA,0
Jason Bourne,2016,123.0,120000000.0,108521835.0,PG-13,English,UK,31000
Charlie's Angels: Full Throttle,2003,107.0,120000000.0,100685880.0,PG-13,English,USA,0
Prometheus,2012,124.0,130000000.0,126464904.0,R,English,USA,97000
Stuart Little 2,2002,77.0,120000000.0,64736114.0,PG,English,USA,459
Elysium,2013,109.0,115000000.0,93050117.0,R,English,USA,61000
The Chronicles of Riddick,2004,134.0,105000000.0,57637485.0,PG-13,English,USA,0
RoboCop,2014,117.0,100000000.0,58607007.0,PG-13,English,USA,60000
Speed Racer,2008,135.0,120000000.0,43929341.0,PG,English,USA,0
How Do You Know,2010,121.0,120000000.0,30212620.0,PG-13,English,USA,0
Knight and Day,2010,117.0,117000000.0,76418654.0,PG-13,English,USA,11000
Oblivion,2013,124.0,120000000.0,89021735.0,PG-13,English,USA,71000
Star Wars: Episode III - Revenge of the Sith,2005,140.0,113000000.0,380262555.0,PG-13,English,USA,10000
Star Wars: Episode II - Attack of the Clones,2002,142.0,115000000.0,310675583.0,PG,English,USA,0
"Monsters, Inc.",2001,92.0,115000000.0,289907418.0,G,English,USA,0
The Wolverine,2013,138.0,120000000.0,132550960.0,PG-13,English,USA,68000
Star Wars: Episode I - The Phantom Menace,1999,136.0,115000000.0,474544677.0,PG,English,USA,13000
The Croods,2013,98.0,135000000.0,187165546.0,PG,English,USA,28000
Asterix at the Olympic Games,2008,116.0,78000000.0,,,French,France,291
Windtalkers,2002,153.0,115000000.0,40911830.0,R,English,USA,0
The Huntsman: Winter's War,2016,120.0,115000000.0,47952020.0,PG-13,English,USA,16000
Teenage Mutant Ninja Turtles,2014,101.0,125000000.0,190871240.0,PG-13,English,USA,62000
Gravity,2013,91.0,100000000.0,274084951.0,PG-13,English,UK,147000
Dante's Peak,1997,108.0,116000000.0,67155742.0,PG-13,English,USA,0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112.0,135000000.0,81638674.0,PG-13,English,USA,12000
Fantastic Four,2015,100.0,120000000.0,56114221.0,PG-13,English,USA,41000
Night at the Museum,2006,108.0,110000000.0,250863268.0,PG,English,USA,3000
San Andreas,2015,114.0,110000000.0,155181732.0,PG-13,English,USA,52000
Tomorrow Never Dies,1997,119.0,110000000.0,125332007.0,PG-13,English,UK,0
The Patriot,2000,142.0,110000000.0,113330342.0,R,English,USA,4000
Ocean's Twelve,2004,125.0,110000000.0,125531634.0,PG-13,English,USA,0
Mr. & Mrs. Smith,2005,126.0,120000000.0,186336103.0,PG-13,English,USA,0
Insurgent,2015,119.0,110000000.0,129995817.0,PG-13,English,USA,27000
The Aviator,2004,170.0,110000000.0,102608827.0,PG-13,English,USA,0
Gulliver's Travels,2010,85.0,112000000.0,42776259.0,PG,English,USA,0
The Green Hornet,2011,119.0,120000000.0,98780042.0,PG-13,English,USA,14000
300: Rise of an Empire,2014,102.0,110000000.0,106369117.0,R,English,USA,71000
The Smurfs,2011,103.0,110000000.0,142614158.0,PG,English,USA,31000
Home on the Range,2004,76.0,110000000.0,50026353.0,PG,English,USA,304
Allegiant,2016,120.0,110000000.0,66002193.0,PG-13,English,USA,12000
Real Steel,2011,127.0,110000000.0,85463309.0,PG-13,English,USA,36000
The Smurfs 2,2013,105.0,105000000.0,71017784.0,PG,English,USA,0
Speed 2: Cruise Control,1997,121.0,160000000.0,48068396.0,PG-13,English,USA,894
Ender's Game,2013,114.0,110000000.0,61656849.0,PG-13,English,USA,123000
Live Free or Die Hard,2007,129.0,110000000.0,134520804.0,PG-13,English,USA,0
The Lord of the Rings: The Fellowship of the Ring,2001,171.0,93000000.0,313837577.0,PG-13,English,New Zealand,21000
Around the World in 80 Days,2004,120.0,110000000.0,24004159.0,PG,English,USA,0
Ali,2001,165.0,107000000.0,58183966.0,R,English,USA,0
The Cat in the Hat,2003,82.0,109000000.0,100446895.0,PG,English,USA,946
"I, Robot",2004,115.0,120000000.0,144795350.0,PG-13,English,USA,0
Kingdom of Heaven,2005,194.0,130000000.0,47396698.0,R,English,USA,0
Stuart Little,1999,84.0,133000000.0,140015224.0,PG,English,Germany,0
The Princess and the Frog,2009,97.0,105000000.0,104374107.0,G,English,USA,5000
The Martian,2015,151.0,108000000.0,228430993.0,PG-13,English,USA,153000
The Island,2005,136.0,126000000.0,35799026.0,PG-13,English,USA,0
Town & Country,2001,104.0,90000000.0,6712451.0,R,English,New Line,53
Gone in Sixty Seconds,2000,127.0,90000000.0,101643008.0,PG-13,English,USA,0
Gladiator,2000,171.0,103000000.0,187670866.0,R,English,USA,21000
Minority Report,2002,145.0,102000000.0,132014112.0,PG-13,English,USA,0
Harry Potter and the Chamber of Secrets,2002,174.0,100000000.0,261970615.0,PG,English,UK,0
Casino Royale,2006,144.0,150000000.0,167007184.0,PG-13,English,UK,0
Planet of the Apes,2001,119.0,100000000.0,180011740.0,PG-13,English,USA,0
Terminator 2: Judgment Day,1991,153.0,102000000.0,204843350.0,R,English,USA,13000
Public Enemies,2009,140.0,100000000.0,97030725.0,R,English,USA,0
American Gangster,2007,176.0,100000000.0,130127620.0,R,English,USA,0
True Lies,1994,141.0,115000000.0,146282411.0,R,English,USA,0
The Taking of Pelham 1 2 3,2009,106.0,100000000.0,65452312.0,R,English,USA,0
Little Fockers,2010,98.0,100000000.0,148383780.0,PG-13,English,USA,0
The Other Guys,2010,116.0,100000000.0,119219978.0,PG-13,English,USA,16000
Eraser,1996,115.0,100000000.0,101228120.0,R,English,USA,0
Django Unchained,2012,165.0,100000000.0,162804648.0,R,English,USA,199000
The Hunchback of Notre Dame,1996,91.0,100000000.0,100117603.0,G,English,USA,0
The Emperor's New Groove,2000,78.0,100000000.0,89296573.0,G,English,USA,0
The Expendables 2,2012,103.0,92000000.0,85017401.0,R,English,USA,108000
National Treasure,2004,131.0,100000000.0,173005002.0,PG,English,USA,0
Eragon,2006,104.0,100000000.0,75030163.0,PG,English,USA,0
Where the Wild Things Are,2009,101.0,100000000.0,77222184.0,PG,English,Germany,11000
Epic,2013,102.0,100000000.0,107515297.0,PG,English,USA,17000
The Tourist,2010,103.0,100000000.0,67631157.0,PG-13,English,USA,25000
End of Days,1999,121.0,83000000.0,66862068.0,R,English,USA,2000
Blood Diamond,2006,143.0,100000000.0,57366262.0,R,English,Germany,14000
The Wolf of Wall Street,2013,240.0,100000000.0,116866727.0,R,English,USA,138000
Batman Forever,1995,121.0,100000000.0,184031112.0,PG-13,English,USA,0
Starship Troopers,1997,129.0,105000000.0,54700065.0,R,English,USA,0
Cloud Atlas,2012,172.0,102000000.0,27098580.0,R,English,Germany,124000
Legend of the Guardians: The Owls of Ga'Hoole,2010,101.0,80000000.0,55673333.0,PG,English,USA,16000
Catwoman,2004,87.0,100000000.0,40198710.0,PG-13,English,USA,0
Hercules,2014,101.0,100000000.0,72660029.0,PG-13,English,USA,21000
Treasure Planet,2002,95.0,140000000.0,38120554.0,PG,English,USA,0
Land of the Lost,2009,102.0,100000000.0,49392095.0,PG-13,English,USA,0
The Expendables 3,2014,131.0,90000000.0,39292022.0,PG-13,English,USA,56000
Point Break,2015,114.0,105000000.0,28772222.0,PG-13,English,USA,37000
Son of the Mask,2005,94.0,84000000.0,17010646.0,PG,English,USA,881
In the Heart of the Sea,2015,122.0,100000000.0,24985612.0,PG-13,English,USA,27000
The Adventures of Pluto Nash,2002,95.0,100000000.0,4411102.0,PG-13,English,USA,416
Green Zone,2010,115.0,100000000.0,35024475.0,R,English,France,0
The Peanuts Movie,2015,88.0,99000000.0,130174897.0,G,English,USA,33000
The Spanish Prisoner,1997,110.0,10000000.0,10200000.0,PG,English,USA,578
The Mummy Returns,2001,130.0,98000000.0,202007640.0,PG-13,English,USA,0
Gangs of New York,2002,216.0,100000000.0,77679638.0,R,English,USA,0
The Flowers of War,2011,146.0,94000000.0,9213.0,R,Mandarin,China,13000
Surf's Up,2007,85.0,100000000.0,58867694.0,PG,English,USA,0
The Stepford Wives,2004,93.0,90000000.0,59475623.0,PG-13,English,USA,0
Black Hawk Down,2001,152.0,92000000.0,108638745.0,R,English,USA,10000
The Campaign,2012,85.0,95000000.0,86897182.0,R,English,USA,18000
The Fifth Element,1997,126.0,93000000.0,63540020.0,PG-13,English,France,18000
Sex and the City 2,2010,146.0,100000000.0,95328937.0,R,English,USA,0
The Road to El Dorado,2000,89.0,95000000.0,50802661.0,PG,English,USA,0
Ice Age: Continental Drift,2012,88.0,95000000.0,161317423.0,PG,English,USA,14000
Cinderella,2015,105.0,95000000.0,201148159.0,PG,English,USA,56000
The Lovely Bones,2009,135.0,65000000.0,43982842.0,PG-13,English,USA,16000
Finding Nemo,2003,100.0,94000000.0,380838870.0,G,English,USA,11000
The Lord of the Rings: The Return of the King,2003,192.0,94000000.0,377019252.0,PG-13,English,USA,16000
The Lord of the Rings: The Two Towers,2002,172.0,94000000.0,340478898.0,PG-13,English,USA,10000
Seventh Son,2014,102.0,95000000.0,17176900.0,PG-13,English,USA,16000
Lara Croft: Tomb Raider,2001,100.0,115000000.0,131144183.0,PG-13,English,USA,0
Transcendence,2014,119.0,100000000.0,23014504.0,PG-13,English,UK,37000
Jurassic Park III,2001,92.0,93000000.0,181166115.0,PG-13,English,USA,0
Rise of the Planet of the Apes,2011,105.0,93000000.0,176740650.0,PG-13,English,USA,47000
The Spiderwick Chronicles,2008,107.0,90000000.0,71148699.0,PG,English,USA,0
A Good Day to Die Hard,2013,101.0,92000000.0,67344392.0,R,English,USA,66000
The Alamo,2004,137.0,107000000.0,22406362.0,PG-13,English,USA,701
The Incredibles,2004,115.0,92000000.0,261437578.0,PG,English,USA,0
Cutthroat Island,1995,124.0,98000000.0,11000000.0,PG-13,English,USA,1000
Percy Jackson & the Olympians: The Lightning Thief,2010,118.0,95000000.0,88761720.0,PG,English,UK,9000
