movie_title,numreviews,imdb_score
Ghostbusters,464.0,5.5
Armageddon,167.0,6.6
Men in Black II,208.0,6.1
Beowulf,287.0,6.3
Kung Fu Panda 3,210.0,7.2
Mission: Impossible - Ghost Protocol,432.0,7.4
Rise of the Guardians,256.0,7.3
Fun with Dick and Jane,135.0,6.1
The Last Samurai,190.0,7.7
Exodus: Gods and Kings,314.0,6.1
Star Trek,518.0,8.0
Spider-Man,291.0,7.3
How to Train Your Dragon 2,292.0,7.9
Gods of Egypt,184.0,5.5
Stealth,145.0,5.0
Watchmen,451.0,7.7
Lethal Weapon 4,141.0,6.6
Hulk,267.0,5.7
G.I. Joe: Retaliation,351.0,5.8
Sahara,163.0,6.0
Final Fantasy: The Spirits Within,166.0,6.4
Captain America: The First Avenger,510.0,6.9
The World Is Not Enough,197.0,6.4
Master and Commander: The Far Side of the World,244.0,7.4
The Twilight Saga: Breaking Dawn - Part 2,322.0,5.5
Happy Feet 2,156.0,5.9
The Incredible Hulk,354.0,6.8
The BFG,252.0,6.8
The Revenant,556.0,8.1
Turbo,166.0,6.5
Rango,362.0,7.2
Penguins of Madagascar,153.0,6.7
The Bourne Ultimatum,329.0,8.1
Kung Fu Panda,266.0,7.6
Ant-Man,517.0,7.4
The Hunger Games: Catching Fire,502.0,7.6
Home,165.0,6.7
War of the Worlds,401.0,6.5
Bad Boys II,94.0,6.6
Puss in Boots,246.0,6.7
Salt,330.0,6.4
Noah,434.0,5.8
The Adventures of Tintin,440.0,7.4
Harry Potter and the Prisoner of Azkaban,274.0,7.8
Australia,245.0,6.6
After Earth,349.0,4.9
Dinosaur,145.0,6.5
Harry Potter and the Deathly Hallows: Part II,1.0,7.5
Night at the Museum: Secret of the Tomb,154.0,6.2
Megamind,233.0,7.3
Harry Potter and the Sorcerer's Stone,258.0,7.5
R.I.P.D.,208.0,5.6
Pirates of the Caribbean: The Curse of the Black Pearl,271.0,8.1
Harry Potter and the Deathly Hallows: Part I,4.0,6.4
The Hunger Games: Mockingjay - Part 1,403.0,6.7
The Da Vinci Code,294.0,6.6
Rio 2,159.0,6.4
X-Men 2,289.0,7.5
Fast Five,342.0,7.3
Sherlock Holmes: A Game of Shadows,382.0,7.5
Clash of the Titans,344.0,5.8
Total Recall,196.0,7.5
The 13th Warrior,85.0,6.6
The Bourne Legacy,436.0,6.7
Batman & Robin,183.0,3.7
How the Grinch Stole Christmas,175.0,6.0
The Day After Tomorrow,239.0,6.4
Mission: Impossible II,237.0,6.1
The Perfect Storm,231.0,6.4
Fantastic 4: Rise of the Silver Surfer,262.0,5.6
Life of Pi,552.0,8.0
Ghost Rider,276.0,5.2
Jason Bourne,267.0,7.1
Charlie's Angels: Full Throttle,102.0,4.8
Prometheus,775.0,7.0
Stuart Little 2,71.0,5.4
Elysium,476.0,6.6
The Chronicles of Riddick,207.0,6.7
RoboCop,492.0,6.2
Speed Racer,284.0,6.1
How Do You Know,168.0,5.3
Knight and Day,283.0,6.3
Oblivion,539.0,7.0
Star Wars: Episode III - Revenge of the Sith,359.0,7.6
Star Wars: Episode II - Attack of the Clones,284.0,6.7
"Monsters, Inc.",250.0,8.1
The Wolverine,440.0,6.7
Star Wars: Episode I - The Phantom Menace,320.0,6.5
The Croods,257.0,7.3
Asterix at the Olympic Games,33.0,5.1
Windtalkers,152.0,6.0
The Huntsman: Winter's War,231.0,6.1
Teenage Mutant Ninja Turtles,348.0,5.9
Gravity,738.0,7.8
Dante's Peak,93.0,5.8
Teenage Mutant Ninja Turtles: Out of the Shadows,181.0,6.3
Fantastic Four,369.0,4.3
Night at the Museum,179.0,6.4
San Andreas,358.0,6.1
Tomorrow Never Dies,160.0,6.5
The Patriot,192.0,7.1
Ocean's Twelve,198.0,6.4
Mr. & Mrs. Smith,233.0,6.5
Insurgent,263.0,6.3
The Aviator,267.0,7.5
Gulliver's Travels,184.0,4.9
The Green Hornet,447.0,5.8
300: Rise of an Empire,366.0,6.2
The Smurfs,172.0,5.5
Home on the Range,104.0,5.4
Allegiant,181.0,5.8
Real Steel,327.0,7.1
The Smurfs 2,125.0,5.4
Speed 2: Cruise Control,79.0,3.7
Ender's Game,326.0,6.7
Live Free or Die Hard,354.0,7.2
The Lord of the Rings: The Fellowship of the Ring,297.0,8.8
Around the World in 80 Days,188.0,5.8
Ali,174.0,6.8
The Cat in the Hat,109.0,3.8
"I, Robot",225.0,7.1
Kingdom of Heaven,239.0,7.2
Stuart Little,101.0,5.9
The Princess and the Frog,228.0,7.1
The Martian,568.0,8.1
The Island,257.0,6.9
Town & Country,62.0,4.4
Gone in Sixty Seconds,175.0,6.5
Gladiator,265.0,8.5
Minority Report,252.0,7.7
Harry Potter and the Chamber of Secrets,232.0,7.4
Casino Royale,400.0,8.0
Planet of the Apes,230.0,5.7
Terminator 2: Judgment Day,210.0,8.5
Public Enemies,357.0,7.0
American Gangster,300.0,7.8
True Lies,94.0,7.2
The Taking of Pelham 1 2 3,267.0,6.4
Little Fockers,180.0,5.5
The Other Guys,265.0,6.7
Eraser,81.0,6.1
Django Unchained,765.0,8.5
The Hunchback of Notre Dame,80.0,6.9
The Emperor's New Groove,141.0,7.3
The Expendables 2,383.0,6.7
National Treasure,193.0,6.9
Eragon,170.0,5.1
Where the Wild Things Are,333.0,6.8
Epic,203.0,6.7
The Tourist,321.0,6.0
End of Days,174.0,5.7
Blood Diamond,166.0,8.0
The Wolf of Wall Street,606.0,8.2
Batman Forever,144.0,5.4
Starship Troopers,192.0,7.2
Cloud Atlas,511.0,7.5
Legend of the Guardians: The Owls of Ga'Hoole,188.0,7.0
Catwoman,212.0,3.3
Hercules,245.0,6.0
Treasure Planet,127.0,7.1
Land of the Lost,167.0,5.4
The Expendables 3,320.0,6.1
Point Break,163.0,5.3
Son of the Mask,78.0,2.2
In the Heart of the Sea,289.0,7.0
The Adventures of Pluto Nash,66.0,3.8
Green Zone,266.0,6.9
The Peanuts Movie,208.0,7.2
The Spanish Prisoner,97.0,7.3
The Mummy Returns,202.0,6.3
Gangs of New York,233.0,7.5
The Flowers of War,136.0,7.6
Surf's Up,154.0,6.8
The Stepford Wives,169.0,5.2
Black Hawk Down,200.0,7.7
The Campaign,255.0,6.2
The Fifth Element,173.0,7.7
Sex and the City 2,221.0,4.3
The Road to El Dorado,82.0,6.9
Ice Age: Continental Drift,233.0,6.6
Cinderella,343.0,7.0
The Lovely Bones,308.0,6.7
Finding Nemo,301.0,8.2
The Lord of the Rings: The Return of the King,328.0,8.9
The Lord of the Rings: The Two Towers,294.0,8.7
Seventh Son,175.0,5.5
Lara Croft: Tomb Raider,199.0,5.7
Transcendence,355.0,6.3
Jurassic Park III,198.0,5.9
Rise of the Planet of the Apes,529.0,7.6
The Spiderwick Chronicles,198.0,6.6
A Good Day to Die Hard,412.0,5.3
The Alamo,106.0,6.0
The Incredibles,283.0,8.0
Cutthroat Island,61.0,5.6
Percy Jackson & the Olympians: The Lightning Thief,217.0,5.9
Men in Black,175.0,7.3
Toy Story 2,191.0,7.9
Unstoppable,316.0,6.8
Rush Hour 2,127.0,6.6
What Lies Beneath,185.0,6.6
Cloudy with a Chance of Meatballs,191.0,7.0
Ice Age: Dawn of the Dinosaurs,188.0,7.0
The Secret Life of Walter Mitty,362.0,7.3
Charlie's Angels,181.0,5.5
The Departed,352.0,8.5
Mulan,143.0,7.5
Tropic Thunder,308.0,7.0
The Girl with the Dragon Tattoo,517.0,7.8
Die Hard with a Vengeance,148.0,7.6
Sherlock Holmes,415.0,7.6
Ben-Hur,1.0,6.1
Atlantis: The Lost Empire,146.0,6.8
Alvin and the Chipmunks: The Road Chip,70.0,5.0
Valkyrie,269.0,7.1
You Don't Mess with the Zohan,198.0,5.5
Pixels,253.0,5.6
A.I. Artificial Intelligence,281.0,7.1
The Haunted Mansion,122.0,4.9
Contact,159.0,7.4
Hollow Man,180.0,5.7
The Interpreter,227.0,6.4
Percy Jackson: Sea of Monsters,183.0,5.9
Lara Croft Tomb Raider: The Cradle of Life,157.0,5.5
Now You See Me 2,196.0,6.9
The Saint,64.0,6.2
Spy Game,142.0,7.0
Mission to Mars,181.0,5.6
Rio,240.0,7.0
Bicentennial Man,93.0,6.8
Volcano,84.0,5.4
The Devil's Own,66.0,6.1
K-19: The Widowmaker,136.0,6.7
Conan the Barbarian,166.0,6.9
Cinderella Man,201.0,8.0
The Nutcracker in 3D,47.0,4.4
Seabiscuit,175.0,7.3
Twister,114.0,6.3
Cast Away,221.0,7.7
Happy Feet,206.0,6.5
The Bourne Supremacy,239.0,7.8
Air Force One,142.0,6.4
Ocean's Eleven,186.0,7.8
The Three Musketeers,228.0,5.8
Hotel Transylvania,256.0,7.1
Enchanted,222.0,7.1
Safe House,298.0,6.8
102 Dalmatians,84.0,4.8
Tower Heist,236.0,6.2
The Holiday,157.0,6.9
Enemy of the State,81.0,7.3
It's Complicated,187.0,6.6
Ocean's Thirteen,238.0,6.9
Open Season,107.0,6.2
Divergent,459.0,6.7
Enemy at the Gates,187.0,7.6
The Rundown,151.0,6.7
Last Action Hero,80.0,6.2
Memoirs of a Geisha,229.0,7.3
The Fast and the Furious: Tokyo Drift,158.0,6.0
Arthur Christmas,190.0,7.1
Meet Joe Black,98.0,7.1
Collateral Damage,135.0,5.5
All That Jazz,84.0,7.8
Mirror Mirror,382.0,5.6
Scott Pilgrim vs. the World,393.0,7.5
The Core,149.0,5.4
Nutty Professor II: The Klumps,94.0,4.3
Scooby-Doo,138.0,4.9
Dredd,432.0,7.1
Click,173.0,6.4
Creepshow,127.0,6.9
Cats & Dogs: The Revenge of Kitty Galore,91.0,4.3
Jumper,238.0,6.1
Hellboy II: The Golden Army,345.0,7.0
Zodiac,377.0,7.7
The 6th Day,170.0,5.9
Bruce Almighty,191.0,6.7
The Expendables,424.0,6.5
Mission: Impossible,154.0,7.1
The Hunger Games,673.0,7.3
The Hangover Part II,383.0,6.5
Batman Returns,153.0,7.0
Over the Hedge,166.0,6.8
Lilo & Stitch,180.0,7.2
Charlotte's Web,120.0,6.4
Deep Impact,125.0,6.1
RED 2,234.0,6.7
The Longest Yard,134.0,6.4
Alvin and the Chipmunks: Chipwrecked,91.0,4.4
Grown Ups 2,139.0,5.4
Get Smart,265.0,6.5
Something's Gotta Give,145.0,6.7
Shutter Island,490.0,8.1
Four Christmases,141.0,5.6
Robots,163.0,6.3
Face/Off,155.0,7.3
Bedtime Stories,144.0,6.1
Road to Perdition,226.0,7.7
Just Go with It,204.0,6.4
Con Air,139.0,6.8
Eagle Eye,215.0,6.6
Cold Mountain,198.0,7.2
The Book of Eli,325.0,6.9
Flubber,53.0,5.2
The Haunting,167.0,4.9
Space Jam,46.0,6.3
The Pink Panther,147.0,5.6
The Day the Earth Stood Still,276.0,5.5
Conspiracy Theory,80.0,6.7
Fury,406.0,7.6
Six Days Seven Nights,97.0,5.7
Yogi Bear,143.0,4.6
Spirit: Stallion of the Cimarron,106.0,7.0
Zookeeper,178.0,5.2
Lost in Space,102.0,5.1
The Manchurian Candidate,209.0,6.6
Déjà Vu,19.0,7.0
Hotel Transylvania 2,152.0,6.7
Fantasia 2000,129.0,7.3
The Time Machine,124.0,5.9
Mighty Joe Young,35.0,5.6
Swordfish,166.0,6.5
The Legend of Zorro,137.0,5.9
What Dreams May Come,121.0,7.0
Little Nicky,87.0,5.3
The Brothers Grimm,233.0,5.9
Mars Attacks!,132.0,6.3
Evolution,63.0,6.4
The Edge,95.0,6.9
Surrogates,258.0,6.3
Thirteen Days,162.0,7.3
Daylight,61.0,5.8
Walking with Dinosaurs 3D,113.0,5.2
Battlefield Earth,174.0,2.4
Looney Tunes: Back in Action,101.0,5.7
Nine,205.0,5.8
Timeline,123.0,5.6
The Postman,79.0,6.0
Babe: Pig in the City,61.0,5.8
The Last Witch Hunter,202.0,6.0
Red Planet,145.0,5.7
Arthur and the Invisibles,101.0,6.0
Oceans,113.0,7.8
A Sound of Thunder,113.0,4.2
Pompeii,272.0,5.6
Top Cat Begins,3.0,4.4
A Beautiful Mind,205.0,8.2
The Lion King,186.0,8.5
Journey 2: The Mysterious Island,178.0,5.8
Cloudy with a Chance of Meatballs 2,169.0,6.5
Red Dragon,210.0,7.2
Hidalgo,140.0,6.7
Jack and Jill,156.0,3.4
2 Fast 2 Furious,150.0,5.9
The Little Prince,119.0,7.8
The Invasion,232.0,5.9
The Adventures of Rocky & Bullwinkle,49.0,4.1
The Secret Life of Pets,165.0,6.8
The League of Extraordinary Gentlemen,202.0,5.8
Despicable Me 2,306.0,7.5
Independence Day,185.0,6.9
The Lost World: Jurassic Park,177.0,6.5
Madagascar,181.0,6.9
Children of Men,372.0,7.9
X-Men,290.0,7.4
Wanted,316.0,6.7
The Rock,122.0,7.4
Ice Age: The Meltdown,164.0,6.9
50 First Dates,147.0,6.8
Hairspray,219.0,6.7
Exorcist: The Beginning,167.0,5.1
Inspector Gadget,70.0,4.1
Now You See Me,384.0,7.3
Grown Ups,179.0,6.0
The Terminal,151.0,7.3
Hotel for Dogs,107.0,5.4
Vertical Limit,134.0,5.9
Charlie Wilson's War,269.0,7.1
Shark Tale,143.0,6.0
Dreamgirls,241.0,6.5
Be Cool,161.0,5.7
Munich,298.0,7.6
Tears of the Sun,89.0,6.6
Killers,140.0,5.4
The Man from U.N.C.L.E.,362.0,7.3
Spanglish,124.0,6.5
Monster House,190.0,6.6
Bandits,132.0,6.6
First Knight,53.0,5.9
Anna and the King,91.0,6.7
Immortals,284.0,6.1
Hostage,152.0,6.6
Titan A.E.,131.0,6.6
Hollywood Homicide,132.0,5.3
Soldier,67.0,6.0
Carriers,130.0,6.0
Monkeybone,74.0,4.7
Flight of the Phoenix,114.0,6.1
Unbreakable,294.0,7.2
Minions,308.0,6.4
Sucker Punch,435.0,6.1
Snake Eyes,117.0,5.9
Sphere,108.0,6.0
The Angry Birds Movie,141.0,6.3
Fool's Gold,176.0,5.6
Funny People,230.0,6.4
The Kingdom,234.0,7.1
Talladega Nights: The Ballad of Ricky Bobby,164.0,6.6
Dr. Dolittle 2,91.0,4.6
Braveheart,132.0,8.4
Jarhead,262.0,7.1
The Simpsons Movie,299.0,7.4
The Majestic,128.0,6.9
Driven,109.0,4.5
Two Brothers,88.0,7.1
The Village,261.0,6.5
Doctor Dolittle,73.0,5.3
Signs,208.0,6.7
Shrek 2,205.0,7.2
Cars,256.0,7.2
Runaway Bride,103.0,5.5
xXx,191.0,5.8
The SpongeBob Movie: Sponge Out of Water,147.0,6.0
Ransom,79.0,6.6
Inglourious Basterds,486.0,8.3
Hook,75.0,6.7
Die Hard 2,142.0,7.1
S.W.A.T.,144.0,6.0
Vanilla Sky,153.0,6.9
Lady in the Water,284.0,5.6
AVP: Alien vs. Predator,247.0,5.6
Alvin and the Chipmunks: The Squeakquel,107.0,4.5
We Were Soldiers,141.0,7.1
Olympus Has Fallen,358.0,6.5
Star Trek: Insurrection,160.0,6.4
Battle Los Angeles,355.0,5.8
Big Fish,235.0,8.0
Wolf,59.0,6.2
War Horse,388.0,7.2
The Monuments Men,371.0,6.1
The Abyss,82.0,7.6
Wall Street: Money Never Sleeps,297.0,6.3
Dracula Untold,261.0,6.3
The Siege,120.0,6.3
Stardust,228.0,7.7
Seven Years in Tibet,76.0,7.0
The Dilemma,185.0,5.3
Bad Company,128.0,5.6
Doom,237.0,5.2
I Spy,105.0,5.4
Underworld: Awakening,242.0,6.4
Rock of Ages,360.0,5.9
Hart's War,112.0,6.3
Killer Elite,189.0,6.5
Rollerball,151.0,3.0
Ballistic: Ecks vs. Sever,92.0,3.6
Hard Rain,79.0,5.8
Osmosis Jones,81.0,6.2
Legends of Oz: Dorothy's Return,51.0,5.6
Blackhat,261.0,5.4
Sky Captain and the World of Tomorrow,197.0,6.1
Basic Instinct 2,159.0,4.2
Escape Plan,286.0,6.7
The Legend of Hercules,156.0,4.2
The Sum of All Fears,176.0,6.4
The Twilight Saga: Eclipse,293.0,4.9
The Score,141.0,6.8
Despicable Me,304.0,7.7
Money Train,40.0,5.6
Ted 2,280.0,6.4
Agora,180.0,7.2
Mystery Men,125.0,6.0
Hall Pass,237.0,5.9
The Insider,209.0,7.9
The Finest Hours,178.0,6.8
Body of Lies,238.0,7.1
Dinner for Schmucks,190.0,5.9
Abraham Lincoln: Vampire Hunter,393.0,5.9
Entrapment,138.0,6.2
The X Files,142.0,7.0
The Last Legion,90.0,5.4
Saving Private Ryan,219.0,8.6
Need for Speed,327.0,6.5
What Women Want,149.0,6.4
Ice Age,193.0,7.6
Dreamcatcher,175.0,5.5
Lincoln,538.0,7.4
The Matrix,313.0,8.7
Apollo 13,159.0,7.6
The Santa Clause 2,80.0,5.5
Les Misérables,488.0,7.6
You've Got Mail,153.0,6.5
Step Brothers,173.0,6.9
The Mask of Zorro,156.0,6.7
Due Date,307.0,6.6
Unbroken,322.0,7.2
Space Cowboys,169.0,6.4
Cliffhanger,74.0,6.4
Broken Arrow,72.0,6.0
The Kid,86.0,6.1
World Trade Center,242.0,6.0
Mona Lisa Smile,141.0,6.4
The Dictator,313.0,6.4
Eyes Wide Shut,280.0,7.3
Annie,176.0,5.2
Focus,279.0,6.6
This Means War,241.0,6.3
Blade: Trinity,185.0,5.9
Red Dawn,97.0,6.4
Primary Colors,117.0,6.7
Resident Evil: Retribution,239.0,5.4
Death Race,230.0,6.4
The Long Kiss Goodnight,94.0,6.7
Proof of Life,134.0,6.2
Zathura: A Space Adventure,136.0,6.1
Fight Club,315.0,8.8
We Are Marshall,96.0,7.1
Hudson Hawk,60.0,5.7
Lucky Numbers,60.0,5.0
"I, Frankenstein",308.0,5.1
Oliver Twist,127.0,6.9
Elektra,196.0,4.8
Sin City: A Dame to Kill For,339.0,6.5
Random Hearts,96.0,5.1
Everest,361.0,7.1
Perfume: The Story of a Murderer,226.0,7.5
Austin Powers in Goldmember,194.0,6.2
Astro Boy,138.0,6.3
Jurassic Park,308.0,8.1
Wyatt Earp,40.0,6.6
Clear and Present Danger,42.0,6.9
Dragon Blade,68.0,6.1
Littleman,78.0,4.3
U-571,178.0,6.6
The American President,75.0,6.8
The Love Guru,150.0,3.8
3000 Miles to Graceland,113.0,5.9
The Hateful Eight,596.0,7.9
Blades of Glory,191.0,6.3
Hop,156.0,5.5
300,460.0,7.7
Meet the Fockers,141.0,6.3
Marley & Me,180.0,7.1
The Green Mile,186.0,8.5
Wild Hogs,177.0,5.9
Chicken Little,161.0,5.8
Gone Girl,568.0,8.1
The Bourne Identity,249.0,7.9
GoldenEye,137.0,7.2
The General's Daughter,113.0,6.3
The Truman Show,213.0,8.1
The Prince of Egypt,120.0,7.0
Daddy Day Care,81.0,5.5
2 Guns,265.0,6.7
Cats & Dogs,105.0,5.2
The Italian Job,155.0,7.0
Two Weeks Notice,118.0,6.1
Antz,131.0,6.6
Couples Retreat,166.0,5.5
Days of Thunder,60.0,5.9
Cheaper by the Dozen 2,77.0,5.4
The Scorch Trials,249.0,6.4
Eat Pray Love,213.0,5.7
The Family Man,121.0,6.7
RED,315.0,7.1
Any Given Sunday,171.0,6.8
The Horse Whisperer,96.0,6.5
Collateral,299.0,7.6
The Scorpion King,167.0,5.5
Ladder 49,125.0,6.5
Jack Reacher,387.0,7.0
Deep Blue Sea,199.0,5.8
This Is It,136.0,7.3
Contagion,436.0,6.6
Kangaroo Jack,73.0,4.4
Coraline,310.0,7.7
The Happening,323.0,5.0
Man on Fire,171.0,7.7
The Shaggy Dog,76.0,4.4
Starsky & Hutch,173.0,6.1
Jingle All the Way,81.0,5.4
Hellboy,242.0,6.8
A Civil Action,110.0,6.5
ParaNorman,328.0,7.0
The Jackal,83.0,6.3
Paycheck,196.0,6.3
Up Close & Personal,34.0,6.1
The Tale of Despereaux,118.0,6.1
The Tuxedo,81.0,5.3
Under Siege 2: Dark Territory,47.0,5.4
Jack Ryan: Shadow Recruit,313.0,6.2
Joy,315.0,6.6
London Has Fallen,225.0,5.9
Alien: Resurrection,223.0,6.3
Shooter,198.0,7.2
The Boxtrolls,219.0,6.8
Practical Magic,92.0,6.1
The Lego Movie,435.0,7.8
Miss Congeniality 2: Armed and Fabulous,111.0,5.0
Reign of Fire,138.0,6.2
Gangster Squad,415.0,6.7
Year One,170.0,4.9
Invictus,306.0,7.4
State of Play,252.0,7.1
Duplicity,211.0,6.2
My Favorite Martian,49.0,4.9
The Sentinel,161.0,6.1
Planet 51,156.0,6.1
Star Trek: Nemesis,172.0,6.4
Intolerable Cruelty,161.0,6.3
Trouble with the Curve,239.0,6.8
Edge of Darkness,258.0,6.6
The Relic,95.0,5.7
Analyze That,105.0,5.9
Righteous Kill,198.0,6.0
Mercury Rising,79.0,6.1
The Soloist,210.0,6.7
The Legend of Bagger Vance,125.0,6.7
Almost Famous,149.0,7.9
Garfield 2,77.0,5.0
xXx: State of the Union,77.0,4.3
Priest,225.0,5.7
Sinbad: Legend of the Seven Seas,98.0,6.7
Event Horizon,172.0,6.7
Dragonfly,117.0,6.1
The Black Dahlia,240.0,5.6
Flyboys,123.0,6.6
The Last Castle,110.0,6.9
Supernova,100.0,4.8
Winter's Tale,189.0,6.2
The Mortal Instruments: City of Bones,212.0,6.0
Meet Dave,127.0,4.9
Dark Water,196.0,5.6
Edtv,115.0,6.1
Inkheart,161.0,6.1
The Spirit,223.0,4.8
Mortdecai,181.0,5.5
In the Name of the King: A Dungeon Siege Tale,140.0,3.8
Beyond Borders,54.0,6.5
Xi you ji zhi: Sun Wukong san da Baigu Jing,14.0,6.0
The Great Raid,81.0,6.7
Deadpool,579.0,8.1
Holy Man,56.0,4.9
American Sniper,490.0,7.3
Goosebumps,218.0,6.4
Just Like Heaven,142.0,6.7
The Flintstones in Viva Rock Vegas,57.0,3.6
Rambo III,84.0,5.7
Leatherheads,186.0,6.0
The Ridiculous 6,53.0,4.9
Did You Hear About the Morgans?,133.0,4.7
The Internship,246.0,6.3
Resident Evil: Afterlife,253.0,5.9
Red Tails,144.0,5.9
The Devil's Advocate,117.0,7.5
That's My Boy,157.0,5.6
DragonHeart,60.0,6.4
After the Sunset,117.0,6.3
Ghost Rider: Spirit of Vengeance,287.0,4.3
Captain Corelli's Mandolin,96.0,5.9
The Pacifier,125.0,5.5
Walking Tall,117.0,6.2
Forrest Gump,149.0,8.8
Alvin and the Chipmunks,131.0,5.2
Meet the Parents,150.0,7.0
Pocahontas,92.0,6.6
Superman,169.0,7.3
